Path	ctx-a	ctx-u	ctx-y	ctx-z	ctx-p	Uniform
t39	3	4	1	5	2	210
t17	3	4	1	5	2	150
t25	3	4	2	1	5	230
t39	3	4	2	1	5	210
t17	3	4	2	1	5	90
t25	3	4	2	5	1	350
t39	3	4	2	5	1	210
t17	3	4	2	5	1	150
t25	3	4	5	1	2	250
t39	3	4	5	1	2	210
t17	3	4	5	1	2	100
t25	3	4	5	2	1	250
t39	3	4	5	2	1	210
t17	3	4	5	2	1	100
t25	3	5	1	2	4	300
t39	3	5	1	2	4	160
t17	3	5	1	2	4	90
t25	3	5	1	4	2	360
t39	3	5	1	4	2	160
t17	3	5	1	4	2	150
t25	3	5	2	1	4	300
t39	3	5	2	1	4	160
t17	3	5	2	1	4	90
t25	3	5	2	4	1	360
t39	3	5	2	4	1	160
t17	3	5	2	4	1	150
t25	3	5	4	1	2	310
t39	3	5	4	1	2	160
t17	3	5	4	1	2	100
t25	3	5	4	2	1	310
t39	3	5	4	2	1	160
t17	3	5	4	2	1	100
t25	4	1	2	3	5	190
t39	4	1	2	3	5	210
t17	4	1	2	3	5	140
t25	4	1	2	5	3	250
t39	4	1	2	5	3	210
t17	4	1	2	5	3	200
t25	4	1	3	2	5	190
t39	4	1	3	2	5	210
t17	4	1	3	2	5	140
t25	4	1	3	5	2	250
t39	4	1	3	5	2	210
t17	4	1	3	5	2	200
t25	4	1	5	2	3	200
t39	4	1	5	2	3	210
t17	4	1	5	2	3	150
t25	4	1	5	3	2	200
t39	4	1	5	3	2	210
t17	4	1	5	3	2	150
t25	4	2	1	3	5	210
t39	4	2	1	3	5	210
t17	4	2	1	3	5	140
t25	4	2	1	5	3	270
t39	4	2	1	5	3	210
t17	4	2	1	5	3	200
t25	4	2	3	1	5	200
t39	4	2	3	1	5	210
t17	4	2	3	1	5	140
t25	4	2	3	5	1	260
t39	4	2	3	5	1	210
t17	4	2	3	5	1	200
t25	4	2	5	1	3	210
t39	4	2	5	1	3	210
t17	4	2	5	1	3	150
t25	4	2	5	3	1	210
t39	4	2	5	3	1	210
t17	4	2	5	3	1	150
t25	4	3	1	2	5	210
t39	4	3	1	2	5	210
t17	4	3	1	2	5	140
t25	4	3	1	5	2	330
t39	4	3	1	5	2	210
t17	4	3	1	5	2	200
t25	4	3	2	1	5	210
t39	4	3	2	1	5	210
t17	4	3	2	1	5	140
t25	4	3	2	5	1	330
t39	4	3	2	5	1	210
t17	4	3	2	5	1	200
t25	4	3	5	1	2	230
t39	4	3	5	1	2	210
t17	4	3	5	1	2	150
t25	4	3	5	2	1	230
t39	4	3	5	2	1	210
t17	4	3	5	2	1	150
t25	4	5	1	2	3	370
t39	4	5	1	2	3	90
t17	4	5	1	2	3	160
t25	4	5	1	3	2	370
t39	4	5	1	3	2	90
t17	4	5	1	3	2	160
t25	4	5	2	1	3	370
t39	4	5	2	1	3	90
t17	4	5	2	1	3	160
t25	4	5	2	3	1	370
t39	4	5	2	3	1	90
t17	4	5	2	3	1	160
t25	4	5	3	1	2	370
t39	4	5	3	1	2	90
t17	4	5	3	1	2	160
t25	4	5	3	2	1	370
t39	4	5	3	2	1	90
t17	4	5	3	2	1	160
t25	5	1	2	3	4	260
t39	5	1	2	3	4	140
t17	5	1	2	3	4	210
t25	5	1	2	4	3	260
t39	5	1	2	4	3	140
t17	5	1	2	4	3	210
t25	5	1	3	2	4	260
t39	5	1	3	2	4	140
t17	5	1	3	2	4	210
t25	5	1	3	4	2	260
t39	5	1	3	4	2	140
t17	5	1	3	4	2	210
t25	5	1	4	2	3	260
t39	5	1	4	2	3	140
t17	5	1	4	2	3	210
t25	5	1	4	3	2	260
