Branching	Index	Inherit	Length	Load	Nesting	Number	Sharing	filename	Uniform	Time
1	15121	False	13	50	0	2	0	model-15121.graphml	SCHED	0.030296365999999963
1	15122	False	13	50	0	2	0	model-15122.graphml	SCHED	0.030160889999999996
1	15123	False	13	50	0	2	0	model-15123.graphml	SCHED	0.03036315300000003
1	15124	False	13	50	0	2	0	model-15124.graphml	SCHED	0.030578095000000083
1	15125	False	13	50	0	2	0	model-15125.graphml	SCHED	0.03041291300000004
1	15126	False	13	50	0	2	0	model-15126.graphml	SCHED	0.030508695999999946
1	15127	False	13	50	0	2	0	model-15127.graphml	SCHED	0.030346635999999982
1	15128	False	13	50	0	2	0	model-15128.graphml	SCHED	0.030352112000000098
1	15129	False	13	50	0	2	0	model-15129.graphml	SCHED	0.030232561000000047
1	15130	False	13	50	0	2	0	model-15130.graphml	SCHED	0.030458264000000068
1	15131	False	13	60	0	2	0	model-15131.graphml	SCHED	0.030346906000000007
1	15132	False	13	60	0	2	0	model-15132.graphml	SCHED	0.030446328000000022
1	15133	False	13	60	0	2	0	model-15133.graphml	SCHED	0.03021897600000001
1	15134	False	13	60	0	2	0	model-15134.graphml	SCHED	0.03037896700000009
1	15135	False	13	60	0	2	0	model-15135.graphml	SCHED	0.030669590999999885
1	15136	False	13	60	0	2	0	model-15136.graphml	SCHED	0.03030229800000006
1	15137	False	13	60	0	2	0	model-15137.graphml	SCHED	0.03032111000000004
1	15138	False	13	60	0	2	0	model-15138.graphml	SCHED	0.030396907000000084
1	15139	False	13	60	0	2	0	model-15139.graphml	SCHED	0.03042542199999998
1	15140	False	13	60	0	2	0	model-15140.graphml	SCHED	0.03091684199999989
1	15141	False	13	70	0	2	0	model-15141.graphml	SCHED	0.03049590499999999
1	15142	False	13	70	0	2	0	model-15142.graphml	SCHED	0.030435105000000018
1	15143	False	13	70	0	2	0	model-15143.graphml	SCHED	0.03061846299999993
1	15144	False	13	70	0	2	0	model-15144.graphml	SCHED	0.030401468999999848
1	15145	False	13	70	0	2	0	model-15145.graphml	SCHED	0.030302462999999946
1	15146	False	13	70	0	2	0	model-15146.graphml	SCHED	0.030401447999999887
1	15147	False	13	70	0	2	0	model-15147.graphml	SCHED	0.030250633000000082
1	15148	False	13	70	0	2	0	model-15148.graphml	SCHED	0.030270017999999954
1	15149	False	13	70	0	2	0	model-15149.graphml	SCHED	0.030351620000000024
1	15150	False	13	70	0	2	0	model-15150.graphml	SCHED	0.030386476999999967
1	15151	False	13	80	0	2	0	model-15151.graphml	SCHED	0.03059674400000012
1	15152	False	13	80	0	2	0	model-15152.graphml	SCHED	0.03068603900000011
1	15153	False	13	80	0	2	0	model-15153.graphml	SCHED	0.030471818999999956
1	15154	False	13	80	0	2	0	model-15154.graphml	SCHED	0.030115956000000166
1	15155	False	13	80	0	2	0	model-15155.graphml	SCHED	0.030553076999999984
1	15156	False	13	80	0	2	0	model-15156.graphml	SCHED	0.03025508099999996
1	15157	False	13	80	0	2	0	model-15157.graphml	SCHED	0.030608326999999935
