Path	P1	P2	P3	P4	P5	P6	P7	lat	lat_sync	lat_syncref	lat_async
S2	1	2	6	3	7	5	4	0	120	120	120
S1	1	2	6	4	3	5	7	0	110	110	146
S2	1	2	6	4	3	5	7	0	120	120	120
S1	1	2	6	4	3	7	5	0	110	110	126
S2	1	2	6	4	3	7	5	0	120	120	120
S1	1	2	6	4	5	3	7	0	110	110	146
S2	1	2	6	4	5	3	7	0	120	120	120
S1	1	2	6	4	5	7	3	0	110	110	126
S2	1	2	6	4	5	7	3	0	120	120	120
S1	1	2	6	4	7	3	5	0	110	110	113
S2	1	2	6	4	7	3	5	0	120	120	120
S1	1	2	6	4	7	5	3	0	110	110	113
S2	1	2	6	4	7	5	3	0	120	120	120
S1	1	2	6	5	3	4	7	0	110	110	146
S2	1	2	6	5	3	4	7	0	120	120	120
S1	1	2	6	5	3	7	4	0	110	110	126
S2	1	2	6	5	3	7	4	0	120	120	120
S1	1	2	6	5	4	3	7	0	110	110	146
S2	1	2	6	5	4	3	7	0	120	120	120
S1	1	2	6	5	4	7	3	0	110	110	126
S2	1	2	6	5	4	7	3	0	120	120	120
S1	1	2	6	5	7	3	4	0	110	110	113
S2	1	2	6	5	7	3	4	0	120	120	120
S1	1	2	6	5	7	4	3	0	110	110	113
S2	1	2	6	5	7	4	3	0	120	120	120
S1	1	2	6	7	3	4	5	0	100	80	100
S2	1	2	6	7	3	4	5	0	120	120	120
S1	1	2	6	7	3	5	4	0	100	80	100
S2	1	2	6	7	3	5	4	0	120	120	120
S1	1	2	6	7	4	3	5	0	100	80	100
S2	1	2	6	7	4	3	5	0	120	120	120
S1	1	2	6	7	4	5	3	0	100	80	100
S2	1	2	6	7	4	5	3	0	120	120	120
S1	1	2	6	7	5	3	4	0	100	80	100
S2	1	2	6	7	5	3	4	0	120	120	120
S1	1	2	6	7	5	4	3	0	100	80	100
S2	1	2	6	7	5	4	3	0	120	120	120
S1	1	2	7	3	4	5	6	0	170	170	170
S2	1	2	7	3	4	5	6	0	70	70	70
S1	1	2	7	3	4	6	5	0	170	170	170
S2	1	2	7	3	4	6	5	0	70	70	70
S1	1	2	7	3	5	4	6	0	170	170	170
S2	1	2	7	3	5	4	6	0	70	70	70
