Path	ctx-a	ctx-u	ctx-y	ctx-z	ctx-p	EMSOFT17
t39	3	4	1	5	2	210
t25	3	4	1	5	2	200
t17	3	4	1	5	2	150
t39	3	4	2	1	5	210
t25	3	4	2	1	5	170
t17	3	4	2	1	5	120
t39	3	4	2	5	1	210
t25	3	4	2	5	1	200
t17	3	4	2	5	1	150
t39	3	4	5	1	2	210
t25	3	4	5	1	2	170
t17	3	4	5	1	2	120
t39	3	4	5	2	1	210
t25	3	4	5	2	1	170
t17	3	4	5	2	1	120
t39	3	5	1	2	4	160
t25	3	5	1	2	4	210
t17	3	5	1	2	4	120
t39	3	5	1	4	2	160
t25	3	5	1	4	2	210
t17	3	5	1	4	2	150
t39	3	5	2	1	4	160
t25	3	5	2	1	4	210
t17	3	5	2	1	4	120
t39	3	5	2	4	1	160
t25	3	5	2	4	1	210
t17	3	5	2	4	1	150
t39	3	5	4	1	2	160
t25	3	5	4	1	2	210
t17	3	5	4	1	2	120
t39	3	5	4	2	1	160
t25	3	5	4	2	1	210
t17	3	5	4	2	1	120
t39	4	1	2	3	5	210
t25	4	1	2	3	5	170
t17	4	1	2	3	5	170
t39	4	1	2	5	3	210
t25	4	1	2	5	3	200
t17	4	1	2	5	3	200
t39	4	1	3	2	5	210
t25	4	1	3	2	5	170
t17	4	1	3	2	5	170
t39	4	1	3	5	2	210
t25	4	1	3	5	2	200
t17	4	1	3	5	2	200
t39	4	1	5	2	3	210
t25	4	1	5	2	3	170
t17	4	1	5	2	3	170
t39	4	1	5	3	2	210
t25	4	1	5	3	2	170
t17	4	1	5	3	2	170
t39	4	2	1	3	5	210
t25	4	2	1	3	5	170
t17	4	2	1	3	5	170
t39	4	2	1	5	3	210
t25	4	2	1	5	3	200
t17	4	2	1	5	3	200
t39	4	2	3	1	5	210
t25	4	2	3	1	5	170
t17	4	2	3	1	5	170
t39	4	2	3	5	1	210
t25	4	2	3	5	1	200
t17	4	2	3	5	1	200
t39	4	2	5	1	3	210
t25	4	2	5	1	3	170
t17	4	2	5	1	3	170
t39	4	2	5	3	1	210
t25	4	2	5	3	1	170
t17	4	2	5	3	1	170
t39	4	3	1	2	5	210
t25	4	3	1	2	5	170
t17	4	3	1	2	5	170
t39	4	3	1	5	2	210
t25	4	3	1	5	2	200
t17	4	3	1	5	2	200
t39	4	3	2	1	5	210
t25	4	3	2	1	5	170
t17	4	3	2	1	5	170
t39	4	3	2	5	1	210
t25	4	3	2	5	1	200
t17	4	3	2	5	1	200
t39	4	3	5	1	2	210
t25	4	3	5	1	2	170
t17	4	3	5	1	2	170
t39	4	3	5	2	1	210
t25	4	3	5	2	1	170
t17	4	3	5	2	1	170
t39	4	5	1	2	3	90
t25	4	5	1	2	3	210
t17	4	5	1	2	3	160
