Branching	Index	Inherit	Length	Load	Nesting	Number	Sharing	filename	Uniform	Time
2	15199	True	13	50	0	2	0	model-15199.graphml	SCHED	0.057698090999999785
2	15200	True	13	50	0	2	0	model-15200.graphml	SCHED	0.04306479200000002
2	15201	True	13	60	0	2	0	model-15201.graphml	SCHED	0.05756184799999975
2	15202	True	13	60	0	2	0	model-15202.graphml	SCHED	0.0626557339999998
2	15203	True	13	60	0	2	0	model-15203.graphml	SCHED	0.05774532600000004
2	15204	True	13	60	0	2	0	model-15204.graphml	SCHED	0.058040196999999516
2	15205	True	13	60	0	2	0	model-15205.graphml	SCHED	0.05784682100000005
2	15206	True	13	60	0	2	0	model-15206.graphml	SCHED	0.057918705000000514
2	15207	True	13	60	0	2	0	model-15207.graphml	SCHED	0.05764727299999972
2	15208	True	13	60	0	2	0	model-15208.graphml	SCHED	0.05756711999999986
2	15209	True	13	60	0	2	0	model-15209.graphml	SCHED	0.05724986300000001
2	15210	True	13	60	0	2	0	model-15210.graphml	SCHED	0.048842769000000175
2	15211	True	13	70	0	2	0	model-15211.graphml	SCHED	0.057316182000000104
2	15212	True	13	70	0	2	0	model-15212.graphml	SCHED	0.0572704040000005
2	15213	True	13	70	0	2	0	model-15213.graphml	SCHED	0.08209287399999976
2	15214	True	13	70	0	2	0	model-15214.graphml	SCHED	0.07506379199999991
2	15215	True	13	70	0	2	0	model-15215.graphml	SCHED	0.07446176799999993
2	15216	True	13	70	0	2	0	model-15216.graphml	SCHED	0.07744186099999961
2	15217	True	13	70	0	2	0	model-15217.graphml	SCHED	0.07495483499999978
2	15218	True	13	70	0	2	0	model-15218.graphml	SCHED	0.05757777899999983
2	15219	True	13	70	0	2	0	model-15219.graphml	SCHED	0.057849265999999844
2	15220	True	13	70	0	2	0	model-15220.graphml	SCHED	0.05749886400000026
2	15221	True	13	80	0	2	0	model-15221.graphml	SCHED	0.057398033000000126
2	15222	True	13	80	0	2	0	model-15222.graphml	SCHED	0.057302814999999896
2	15223	True	13	80	0	2	0	model-15223.graphml	SCHED	0.0581779469999999
2	15224	True	13	80	0	2	0	model-15224.graphml	SCHED	0.06238055200000048
2	15225	True	13	80	0	2	0	model-15225.graphml	SCHED	0.06264029699999973
2	15226	True	13	80	0	2	0	model-15226.graphml	SCHED	0.05753086200000013
2	15227	True	13	80	0	2	0	model-15227.graphml	SCHED	0.05715084099999945
2	15228	True	13	80	0	2	0	model-15228.graphml	SCHED	0.05758857800000072
2	15229	True	13	80	0	2	0	model-15229.graphml	SCHED	0.05740627700000012
2	15230	True	13	80	0	2	0	model-15230.graphml	SCHED	0.05778903299999971
2	15231	True	13	90	0	2	0	model-15231.graphml	SCHED	0.07361470699999995
2	15232	True	13	90	0	2	0	model-15232.graphml	SCHED	0.060249660000000205
2	15233	True	13	90	0	2	0	model-15233.graphml	SCHED	0.07343023100000057
2	15234	True	13	90	0	2	0	model-15234.graphml	SCHED	0.07352796500000025
2	15235	True	13	90	0	2	0	model-15235.graphml	SCHED	0.08855124599999975
2	15236	True	13	90	0	2	0	model-15236.graphml	SCHED	0.07692998399999951
2	15237	True	13	90	0	2	0	model-15237.graphml	SCHED	0.14487616999999986
2	15238	True	13	90	0	2	0	model-15238.graphml	SCHED	0.09583826600000034
2	15239	True	13	90	0	2	0	model-15239.graphml	SCHED	0.09819082300000037
2	15240	True	13	90	0	2	0	model-15240.graphml	SCHED	0.09587631000000041
2	15241	True	13	95	0	2	0	model-15241.graphml	SCHED	0.1530775000000002
2	15242	True	13	95	0	2	0	model-15242.graphml	SCHED	0.0990060279999998
2	15243	True	13	95	0	2	0	model-15243.graphml	SCHED	0.0781439310000005
2	15244	True	13	95	0	2	0	model-15244.graphml	SCHED	0.1536154199999995
2	15245	True	13	95	0	2	0	model-15245.graphml	SCHED	0.08500054199999951
2	15246	True	13	95	0	2	0	model-15246.graphml	SCHED	0.11907842499999965
2	15247	True	13	95	0	2	0	model-15247.graphml	SCHED	0.08225805599999969
