Branching	Index	Inherit	Length	Load	Nesting	Number	Sharing	filename	Mixed	Time
2	15200	True	13	50	0	2	0	model-15200.graphml	SCHED	0.029059944000000115
2	15201	True	13	60	0	2	0	model-15201.graphml	SCHED	0.028590330999999747
2	15202	True	13	60	0	2	0	model-15202.graphml	SCHED	0.028784946000000033
2	15203	True	13	60	0	2	0	model-15203.graphml	SCHED	0.028622592000000058
2	15204	True	13	60	0	2	0	model-15204.graphml	SCHED	0.028300987999999805
2	15205	True	13	60	0	2	0	model-15205.graphml	SCHED	0.02856702500000008
2	15206	True	13	60	0	2	0	model-15206.graphml	SCHED	0.028666886999999974
2	15207	True	13	60	0	2	0	model-15207.graphml	SCHED	0.02853219299999976
2	15208	True	13	60	0	2	0	model-15208.graphml	SCHED	0.028892300999999954
2	15209	True	13	60	0	2	0	model-15209.graphml	SCHED	0.028840913999999884
2	15210	True	13	60	0	2	0	model-15210.graphml	SCHED	0.02853885700000003
2	15211	True	13	70	0	2	0	model-15211.graphml	SCHED	0.02862921000000007
2	15212	True	13	70	0	2	0	model-15212.graphml	SCHED	0.028604157000000185
2	15213	True	13	70	0	2	0	model-15213.graphml	SCHED	0.028519973999999948
2	15214	True	13	70	0	2	0	model-15214.graphml	SCHED	0.028538662999999964
2	15215	True	13	70	0	2	0	model-15215.graphml	SCHED	0.028380797999999707
2	15216	True	13	70	0	2	0	model-15216.graphml	SCHED	0.02847459799999985
2	15217	True	13	70	0	2	0	model-15217.graphml	SCHED	0.028592592999999944
2	15218	True	13	70	0	2	0	model-15218.graphml	SCHED	0.028693105999999968
2	15219	True	13	70	0	2	0	model-15219.graphml	SCHED	0.028777789999999914
2	15220	True	13	70	0	2	0	model-15220.graphml	SCHED	0.02873834800000008
2	15221	True	13	80	0	2	0	model-15221.graphml	SCHED	0.028577552999999867
2	15222	True	13	80	0	2	0	model-15222.graphml	SCHED	0.028569343000000025
2	15223	True	13	80	0	2	0	model-15223.graphml	SCHED	0.02863324000000045
2	15224	True	13	80	0	2	0	model-15224.graphml	SCHED	0.028525300000000087
2	15225	True	13	80	0	2	0	model-15225.graphml	SCHED	0.028780451000000262
2	15226	True	13	80	0	2	0	model-15226.graphml	SCHED	0.028505701999999467
2	15227	True	13	80	0	2	0	model-15227.graphml	SCHED	0.028763252000000072
2	15228	True	13	80	0	2	0	model-15228.graphml	SCHED	0.02859034799999982
2	15229	True	13	80	0	2	0	model-15229.graphml	SCHED	0.028650741000000757
2	15230	True	13	80	0	2	0	model-15230.graphml	SCHED	0.028672185999999655
2	15231	True	13	90	0	2	0	model-15231.graphml	SCHED	0.028609687000000328
2	15232	True	13	90	0	2	0	model-15232.graphml	SCHED	0.028372689999999423
2	15233	True	13	90	0	2	0	model-15233.graphml	SCHED	0.028393649000000742
2	15234	True	13	90	0	2	0	model-15234.graphml	SCHED	0.028788936999999848
2	15235	True	13	90	0	2	0	model-15235.graphml	SCHED	0.028414407999999725
2	15236	True	13	90	0	2	0	model-15236.graphml	SCHED	0.028376814999999667
2	15237	True	13	90	0	2	0	model-15237.graphml	SCHED	0.028441720000000004
2	15238	True	13	90	0	2	0	model-15238.graphml	SCHED	0.028282055000000028
2	15239	True	13	90	0	2	0	model-15239.graphml	SCHED	0.028321107999999207
2	15240	True	13	90	0	2	0	model-15240.graphml	SCHED	0.028552374000000214
2	15241	True	13	95	0	2	0	model-15241.graphml	SCHED	0.028657707999999893
2	15242	True	13	95	0	2	0	model-15242.graphml	SCHED	0.028529139999999842
2	15243	True	13	95	0	2	0	model-15243.graphml	SCHED	0.028530976999999957
2	15244	True	13	95	0	2	0	model-15244.graphml	SCHED	0.02897653199999972
2	15245	True	13	95	0	2	0	model-15245.graphml	SCHED	0.028506649999999745
2	15246	True	13	95	0	2	0	model-15246.graphml	SCHED	0.02858827199999947
2	15247	True	13	95	0	2	0	model-15247.graphml	SCHED	0.02876806899999984
2	15248	True	13	95	0	2	0	model-15248.graphml	SCHED	0.028719527999999883
2	15249	True	13	95	0	2	0	model-15249.graphml	SCHED	0.028784262999999477
2	15250	True	13	95	0	2	0	model-15250.graphml	SCHED	0.028930417999999847
2	15251	True	13	98	0	2	0	model-15251.graphml	SCHED	0.02869906000000011
2	15252	True	13	98	0	2	0	model-15252.graphml	SCHED	0.028457015999999946
2	15253	True	13	98	0	2	0	model-15253.graphml	SCHED	0.028805346999999593
2	15254	True	13	98	0	2	0	model-15254.graphml	SCHED	0.028386962999999987
2	15255	True	13	98	0	2	0	model-15255.graphml	SCHED	0.02872598100000001
2	15256	True	13	98	0	2	0	model-15256.graphml	SCHED	0.028563802999999943
2	15257	True	13	98	0	2	0	model-15257.graphml	SCHED	0.028748143999999698
2	15258	True	13	98	0	2	0	model-15258.graphml	SCHED	0.02862528500000039
2	15259	True	13	98	0	2	0	model-15259.graphml	SCHED	0.02873462599999943
2	15260	True	13	98	0	2	0	model-15260.graphml	SCHED	0.028319767000000162
1	15261	True	13	50	0	2	1	model-15261.graphml	SCHED	0.029854079999999783
1	15262	True	13	50	0	2	1	model-15262.graphml	SCHED	0.02983275599999935
1	15263	True	13	50	0	2	1	model-15263.graphml	SCHED	0.029816387999999527
1	15264	True	13	50	0	2	1	model-15264.graphml	SCHED	0.029644779999999926
1	15265	True	13	50	0	2	1	model-15265.graphml	SCHED	0.030167606000000013
1	15266	True	13	50	0	2	1	model-15266.graphml	SCHED	0.02945245899999982
1	15267	True	13	50	0	2	1	model-15267.graphml	SCHED	0.02984756299999969
1	15268	True	13	50	0	2	1	model-15268.graphml	SCHED	0.029432113999999565
1	15269	True	13	50	0	2	1	model-15269.graphml	SCHED	0.029811587000000195
1	15270	True	13	50	0	2	1	model-15270.graphml	SCHED	0.029664322000000354
1	15271	True	13	60	0	2	1	model-15271.graphml	SCHED	0.029583079000000012
1	15272	True	13	60	0	2	1	model-15272.graphml	SCHED	0.029502404999999676
1	15273	True	13	60	0	2	1	model-15273.graphml	SCHED	0.029747303999999808
1	15274	True	13	60	0	2	1	model-15274.graphml	SCHED	0.029656385000000007
1	15275	True	13	60	0	2	1	model-15275.graphml	SCHED	0.02970075700000052
1	15276	True	13	60	0	2	1	model-15276.graphml	SCHED	0.029866424999999808
1	15277	True	13	60	0	2	1	model-15277.graphml	SCHED	0.029727543999999995
