Branching	Index	Inherit	Length	Load	Nesting	Number	Sharing	filename	Path	Mixed
2	15219	True	13	70	0	2	0	model-15219.graphml	T12	5160
2	15220	True	13	70	0	2	0	model-15220.graphml	T12	5160
2	15221	True	13	80	0	2	0	model-15221.graphml	T16	5897
2	15222	True	13	80	0	2	0	model-15222.graphml	T12	5897
2	15223	True	13	80	0	2	0	model-15223.graphml	T16	5897
2	15224	True	13	80	0	2	0	model-15224.graphml	T12	5897
2	15225	True	13	80	0	2	0	model-15225.graphml	T12	5897
2	15226	True	13	80	0	2	0	model-15226.graphml	T12	5897
2	15227	True	13	80	0	2	0	model-15227.graphml	T16	5551
2	15228	True	13	80	0	2	0	model-15228.graphml	T12	5897
2	15229	True	13	80	0	2	0	model-15229.graphml	T16	5897
2	15230	True	13	80	0	2	0	model-15230.graphml	T12	4859
2	15231	True	13	90	0	2	0	model-15231.graphml	T12	6634
2	15232	True	13	90	0	2	0	model-15232.graphml	T16	6634
2	15233	True	13	90	0	2	0	model-15233.graphml	T12	6634
2	15234	True	13	90	0	2	0	model-15234.graphml	T16	6244
2	15235	True	13	90	0	2	0	model-15235.graphml	T12	6634
2	15236	True	13	90	0	2	0	model-15236.graphml	T12	6634
2	15237	True	13	90	0	2	0	model-15237.graphml	T16	6634
2	15238	True	13	90	0	2	0	model-15238.graphml	T16	6634
2	15239	True	13	90	0	2	0	model-15239.graphml	T12	6634
2	15240	True	13	90	0	2	0	model-15240.graphml	T12	6634
2	15241	True	13	95	0	2	0	model-15241.graphml	T16	6592
2	15242	True	13	95	0	2	0	model-15242.graphml	T16	11540
2	15243	True	13	95	0	2	0	model-15243.graphml	T12	6181
2	15244	True	13	95	0	2	0	model-15244.graphml	T12	9896
2	15245	True	13	95	0	2	0	model-15245.graphml	T16	8252
2	15246	True	13	95	0	2	0	model-15246.graphml	T16	11951
2	15247	True	13	95	0	2	0	model-15247.graphml	T16	6181
2	15248	True	13	95	0	2	0	model-15248.graphml	T16	9485
2	15249	True	13	95	0	2	0	model-15249.graphml	T16	7003
2	15250	True	13	95	0	2	0	model-15250.graphml	T16	10307
2	15251	True	13	98	0	2	0	model-15251.graphml	T12	6376
2	15252	True	13	98	0	2	0	model-15252.graphml	T16	8936
2	15253	True	13	98	0	2	0	model-15253.graphml	T16	10632
2	15254	True	13	98	0	2	0	model-15254.graphml	T16	9360
2	15255	True	13	98	0	2	0	model-15255.graphml	T16	6376
2	15256	True	13	98	0	2	0	model-15256.graphml	T16	11904
2	15257	True	13	98	0	2	0	model-15257.graphml	T16	11056
2	15258	True	13	98	0	2	0	model-15258.graphml	T12	9360
2	15259	True	13	98	0	2	0	model-15259.graphml	T16	8512
2	15260	True	13	98	0	2	0	model-15260.graphml	T16	7664
1	15261	True	13	50	0	2	1	model-15261.graphml	T25	2350
1	15262	True	13	50	0	2	1	model-15262.graphml	T25	4030
1	15263	True	13	50	0	2	1	model-15263.graphml	T25	4030
1	15264	True	13	50	0	2	1	model-15264.graphml	T12	1990
1	15265	True	13	50	0	2	1	model-15265.graphml	T25	4030
1	15266	True	13	50	0	2	1	model-15266.graphml	T12	4030
1	15267	True	13	50	0	2	1	model-15267.graphml	T12	1990
