Branching	Index	Inherit	Length	Load	Nesting	Number	Sharing	filename	Path	Mixed
2	15219	False	13	70	0	2	0	model-15219.graphml	T15	3573
2	15220	False	13	70	0	2	0	model-15220.graphml	T12	3573
2	15221	False	13	80	0	2	0	model-15221.graphml	T15	4083
2	15222	False	13	80	0	2	0	model-15222.graphml	T12	4083
2	15223	False	13	80	0	2	0	model-15223.graphml	T15	4083
2	15224	False	13	80	0	2	0	model-15224.graphml	T15	4083
2	15225	False	13	80	0	2	0	model-15225.graphml	T12	4083
2	15226	False	13	80	0	2	0	model-15226.graphml	T15	4083
2	15227	False	13	80	0	2	0	model-15227.graphml	T12	4083
2	15228	False	13	80	0	2	0	model-15228.graphml	T15	4083
2	15229	False	13	80	0	2	0	model-15229.graphml	T12	4083
2	15230	False	13	80	0	2	0	model-15230.graphml	T15	4083
2	15231	False	13	90	0	2	0	model-15231.graphml	T12	4593
2	15232	False	13	90	0	2	0	model-15232.graphml	T15	4593
2	15233	False	13	90	0	2	0	model-15233.graphml	T15	4593
2	15234	False	13	90	0	2	0	model-15234.graphml	T12	4593
2	15235	False	13	90	0	2	0	model-15235.graphml	T15	4593
2	15236	False	13	90	0	2	0	model-15236.graphml	T15	4593
2	15237	False	13	90	0	2	0	model-15237.graphml	T12	4593
2	15238	False	13	90	0	2	0	model-15238.graphml	T12	4593
2	15239	False	13	90	0	2	0	model-15239.graphml	T12	4593
2	15240	False	13	90	0	2	0	model-15240.graphml	T15	4593
2	15241	False	13	95	0	2	0	model-15241.graphml	T12	8486
2	15242	False	13	95	0	2	0	model-15242.graphml	T12	8486
2	15243	False	13	95	0	2	0	model-15243.graphml	T15	8486
2	15244	False	13	95	0	2	0	model-15244.graphml	T12	8486
2	15245	False	13	95	0	2	0	model-15245.graphml	T15	8486
2	15246	False	13	95	0	2	0	model-15246.graphml	T15	8486
2	15247	False	13	95	0	2	0	model-15247.graphml	T15	8486
2	15248	False	13	95	0	2	0	model-15248.graphml	T12	8486
2	15249	False	13	95	0	2	0	model-15249.graphml	T12	8486
2	15250	False	13	95	0	2	0	model-15250.graphml	T12	4546
2	15251	False	13	98	0	2	0	model-15251.graphml	T12	8756
2	15252	False	13	98	0	2	0	model-15252.graphml	T12	8756
2	15253	False	13	98	0	2	0	model-15253.graphml	T12	8756
2	15254	False	13	98	0	2	0	model-15254.graphml	T15	8756
2	15255	False	13	98	0	2	0	model-15255.graphml	T12	8444
2	15256	False	13	98	0	2	0	model-15256.graphml	T12	8756
2	15257	False	13	98	0	2	0	model-15257.graphml	T12	8756
2	15258	False	13	98	0	2	0	model-15258.graphml	T15	8756
2	15259	False	13	98	0	2	0	model-15259.graphml	T15	8756
2	15260	False	13	98	0	2	0	model-15260.graphml	T15	8756
1	15261	False	13	50	0	2	1	model-15261.graphml	T12	903
1	15262	False	13	50	0	2	1	model-15262.graphml	T12	903
1	15263	False	13	50	0	2	1	model-15263.graphml	T25	903
1	15264	False	13	50	0	2	1	model-15264.graphml	T12	903
1	15265	False	13	50	0	2	1	model-15265.graphml	T12	903
1	15266	False	13	50	0	2	1	model-15266.graphml	T25	903
1	15267	False	13	50	0	2	1	model-15267.graphml	T25	903
1	15268	False	13	50	0	2	1	model-15268.graphml	T12	903
1	15269	False	13	50	0	2	1	model-15269.graphml	T12	903
1	15270	False	13	50	0	2	1	model-15270.graphml	T12	903
1	15271	False	13	60	0	2	1	model-15271.graphml	T25	1084
1	15272	False	13	60	0	2	1	model-15272.graphml	T25	1084
1	15273	False	13	60	0	2	1	model-15273.graphml	T12	1084
