Path	ctx-a	ctx-u	ctx-y	ctx-z	ctx-p	Mixed
t39	3	4	1	5	2	210
t17	3	4	1	5	2	80
t25	3	4	2	1	5	80
t39	3	4	2	1	5	210
t17	3	4	2	1	5	80
t25	3	4	2	5	1	160
t39	3	4	2	5	1	210
t17	3	4	2	5	1	80
t25	3	4	5	1	2	120
t39	3	4	5	1	2	210
t17	3	4	5	1	2	80
t25	3	4	5	2	1	120
t39	3	4	5	2	1	210
t17	3	4	5	2	1	80
t25	3	5	1	2	4	210
t39	3	5	1	2	4	100
t17	3	5	1	2	4	80
t25	3	5	1	4	2	210
t39	3	5	1	4	2	100
t17	3	5	1	4	2	80
t25	3	5	2	1	4	210
t39	3	5	2	1	4	100
t17	3	5	2	1	4	80
t25	3	5	2	4	1	210
t39	3	5	2	4	1	100
t17	3	5	2	4	1	80
t25	3	5	4	1	2	210
t39	3	5	4	1	2	100
t17	3	5	4	1	2	80
t25	3	5	4	2	1	210
t39	3	5	4	2	1	100
t17	3	5	4	2	1	80
t25	4	1	2	3	5	80
t39	4	1	2	3	5	210
t17	4	1	2	3	5	80
t25	4	1	2	5	3	160
t39	4	1	2	5	3	210
t17	4	1	2	5	3	160
t25	4	1	3	2	5	80
t39	4	1	3	2	5	210
t17	4	1	3	2	5	80
t25	4	1	3	5	2	160
t39	4	1	3	5	2	210
t17	4	1	3	5	2	160
t25	4	1	5	2	3	120
t39	4	1	5	2	3	210
t17	4	1	5	2	3	120
t25	4	1	5	3	2	120
t39	4	1	5	3	2	210
t17	4	1	5	3	2	120
t25	4	2	1	3	5	80
t39	4	2	1	3	5	210
t17	4	2	1	3	5	80
t25	4	2	1	5	3	160
t39	4	2	1	5	3	210
t17	4	2	1	5	3	160
t25	4	2	3	1	5	80
t39	4	2	3	1	5	210
t17	4	2	3	1	5	80
t25	4	2	3	5	1	160
t39	4	2	3	5	1	210
t17	4	2	3	5	1	160
t25	4	2	5	1	3	120
t39	4	2	5	1	3	210
t17	4	2	5	1	3	120
t25	4	2	5	3	1	120
t39	4	2	5	3	1	210
t17	4	2	5	3	1	120
t25	4	3	1	2	5	80
t39	4	3	1	2	5	210
t17	4	3	1	2	5	80
t25	4	3	1	5	2	160
t39	4	3	1	5	2	210
t17	4	3	1	5	2	160
t25	4	3	2	1	5	80
t39	4	3	2	1	5	210
t17	4	3	2	1	5	80
t25	4	3	2	5	1	160
t39	4	3	2	5	1	210
t17	4	3	2	5	1	160
t25	4	3	5	1	2	120
t39	4	3	5	1	2	210
t17	4	3	5	1	2	120
t25	4	3	5	2	1	120
t39	4	3	5	2	1	210
t17	4	3	5	2	1	120
t25	4	5	1	2	3	210
t39	4	5	1	2	3	90
t17	4	5	1	2	3	80
t25	4	5	1	3	2	210
t39	4	5	1	3	2	90
t17	4	5	1	3	2	80
t25	4	5	2	1	3	210
t39	4	5	2	1	3	90
t17	4	5	2	1	3	80
t25	4	5	2	3	1	210
t39	4	5	2	3	1	90
t17	4	5	2	3	1	80
t25	4	5	3	1	2	210
t39	4	5	3	1	2	90
t17	4	5	3	1	2	80
t25	4	5	3	2	1	210
t39	4	5	3	2	1	90
t17	4	5	3	2	1	80
t25	5	1	2	3	4	210
t39	5	1	2	3	4	90
t17	5	1	2	3	4	210
t25	5	1	2	4	3	210
t39	5	1	2	4	3	90
t17	5	1	2	4	3	210
t25	5	1	3	2	4	210
t39	5	1	3	2	4	90
t17	5	1	3	2	4	210
t25	5	1	3	4	2	210
t39	5	1	3	4	2	90
t17	5	1	3	4	2	210
t25	5	1	4	2	3	210
t39	5	1	4	2	3	90
t17	5	1	4	2	3	210
t25	5	1	4	3	2	210
t39	5	1	4	3	2	90
t17	5	1	4	3	2	210
t25	5	2	1	3	4	210
t39	5	2	1	3	4	90
t17	5	2	1	3	4	210
t25	5	2	1	4	3	210
t39	5	2	1	4	3	90
t17	5	2	1	4	3	210
t25	5	2	3	1	4	210
t39	5	2	3	1	4	90
t17	5	2	3	1	4	210
t25	5	2	3	4	1	210
t39	5	2	3	4	1	90
t17	5	2	3	4	1	210
t25	5	2	4	1	3	210
t39	5	2	4	1	3	90
t17	5	2	4	1	3	210
t25	5	2	4	3	1	210
t39	5	2	4	3	1	90
t17	5	2	4	3	1	210
t25	5	3	1	2	4	210
t39	5	3	1	2	4	90
t17	5	3	1	2	4	210
t25	5	3	1	4	2	210
t39	5	3	1	4	2	90
t17	5	3	1	4	2	210
t25	5	3	2	1	4	210
t39	5	3	2	1	4	90
t17	5	3	2	1	4	210
t25	5	3	2	4	1	210
t39	5	3	2	4	1	90
t17	5	3	2	4	1	210
t25	5	3	4	1	2	210
t39	5	3	4	1	2	90
t17	5	3	4	1	2	210
t25	5	3	4	2	1	210
t39	5	3	4	2	1	90
t17	5	3	4	2	1	210
t25	5	4	1	2	3	210
t39	5	4	1	2	3	90
t17	5	4	1	2	3	210
t25	5	4	1	3	2	210
t39	5	4	1	3	2	90
t17	5	4	1	3	2	210
t25	5	4	2	1	3	210
t39	5	4	2	1	3	90
t17	5	4	2	1	3	210
t25	5	4	2	3	1	210
t39	5	4	2	3	1	90
t17	5	4	2	3	1	210
t25	5	4	3	1	2	210
t39	5	4	3	1	2	90
t17	5	4	3	1	2	210
t25	5	4	3	2	1	210
t39	5	4	3	2	1	90
t17	5	4	3	2	1	210
