Chain	ctx11	ctx12	ctx13	ctx21	ctx22	ctx23	STD	TC	SYNC	SYNCREF
t23	1	4	6	3	2	5	116	39	29	29
t13	1	4	6	3	2	5	190	61	35	35
t23	1	4	6	3	5	2	131	39	29	29
t13	1	4	6	3	5	2	208	61	35	35
t23	1	4	6	5	2	3	242	39	29	29
t13	1	4	6	5	2	3	369	61	35	35
t23	1	4	6	5	3	2	245	39	29	29
t13	1	4	6	5	3	2	390	61	35	35
t23	1	5	2	3	4	6	0	173	113	113
t13	1	5	2	3	4	6	0	51	29	29
t23	1	5	2	3	6	4	0	173	113	113
t13	1	5	2	3	6	4	0	46	25	25
t23	1	5	2	4	3	6	0	173	113	113
t13	1	5	2	4	3	6	0	51	29	29
t23	1	5	2	4	6	3	0	173	113	113
t13	1	5	2	4	6	3	0	46	25	25
t23	1	5	2	6	3	4	0	173	113	113
t13	1	5	2	6	3	4	0	53	31	31
t23	1	5	2	6	4	3	0	173	113	113
t13	1	5	2	6	4	3	0	53	31	31
t23	1	5	3	2	4	6	0	173	113	113
t13	1	5	3	2	4	6	0	51	29	29
t23	1	5	3	2	6	4	0	173	113	113
t13	1	5	3	2	6	4	0	46	25	25
t23	1	5	3	4	2	6	0	173	113	113
t13	1	5	3	4	2	6	0	51	29	29
t23	1	5	3	4	6	2	0	173	113	113
t13	1	5	3	4	6	2	0	46	25	25
t23	1	5	3	6	2	4	0	173	113	113
t13	1	5	3	6	2	4	0	53	31	31
t23	1	5	3	6	4	2	0	173	113	113
t13	1	5	3	6	4	2	0	53	31	31
t23	1	5	4	2	3	6	0	173	113	113
t13	1	5	4	2	3	6	0	51	29	29
t23	1	5	4	2	6	3	0	173	113	113
t13	1	5	4	2	6	3	0	46	25	25
t23	1	5	4	3	2	6	0	173	113	113
t13	1	5	4	3	2	6	0	51	29	29
t23	1	5	4	3	6	2	0	173	113	113
t13	1	5	4	3	6	2	0	46	25	25
t23	1	5	4	6	2	3	0	173	113	113
t13	1	5	4	6	2	3	0	53	31	31
t23	1	5	4	6	3	2	0	173	113	113
t13	1	5	4	6	3	2	0	53	31	31
t23	1	5	6	2	3	4	92	27	27	27
t13	1	5	6	2	3	4	213	61	35	35
t23	1	5	6	2	4	3	93	27	27	27
t13	1	5	6	2	4	3	229	61	35	35
t23	1	5	6	3	2	4	108	27	27	27
t13	1	5	6	3	2	4	230	61	35	35
t23	1	5	6	3	4	2	100	27	27	27
t13	1	5	6	3	4	2	246	61	35	35
t23	1	5	6	4	2	3	163	27	27	27
t13	1	5	6	4	2	3	283	61	35	35
t23	1	5	6	4	3	2	146	27	27	27
t13	1	5	6	4	3	2	283	61	35	35
t23	1	6	2	3	4	5	0	31	31	31
t13	1	6	2	3	4	5	0	61	35	35
t23	1	6	2	3	5	4	0	31	31	31
t13	1	6	2	3	5	4	0	61	35	35
t23	1	6	2	4	3	5	0	31	31	31
t13	1	6	2	4	3	5	0	61	35	35
t23	1	6	2	4	5	3	0	31	31	31
t13	1	6	2	4	5	3	0	61	35	35
t23	1	6	2	5	3	4	0	31	31	31
t13	1	6	2	5	3	4	0	61	35	35
t23	1	6	2	5	4	3	0	31	31	31
t13	1	6	2	5	4	3	0	61	35	35
t23	1	6	3	2	4	5	0	31	31	31
t13	1	6	3	2	4	5	0	61	35	35
t23	1	6	3	2	5	4	0	31	31	31
t13	1	6	3	2	5	4	0	61	35	35
t23	1	6	3	4	2	5	0	31	31	31
t13	1	6	3	4	2	5	0	61	35	35
t23	1	6	3	4	5	2	0	31	31	31
t13	1	6	3	4	5	2	0	61	35	35
t23	1	6	3	5	2	4	0	31	31	31
t13	1	6	3	5	2	4	0	61	35	35
t23	1	6	3	5	4	2	0	31	31	31
t13	1	6	3	5	4	2	0	61	35	35
t23	1	6	4	2	3	5	0	31	31	31
t13	1	6	4	2	3	5	0	61	35	35
t23	1	6	4	2	5	3	0	31	31	31
t13	1	6	4	2	5	3	0	61	35	35
t23	1	6	4	3	2	5	0	31	31	31
t13	1	6	4	3	2	5	0	61	35	35
t23	1	6	4	3	5	2	0	31	31	31
t13	1	6	4	3	5	2	0	61	35	35
t23	1	6	4	5	2	3	0	31	31	31
t13	1	6	4	5	2	3	0	61	35	35
t23	1	6	4	5	3	2	0	31	31	31
t13	1	6	4	5	3	2	0	61	35	35
t23	1	6	5	2	3	4	0	27	27	27
t13	1	6	5	2	3	4	0	61	35	35
t23	1	6	5	2	4	3	0	27	27	27
t13	1	6	5	2	4	3	0	61	35	35
t23	1	6	5	3	2	4	0	27	27	27
t13	1	6	5	3	2	4	0	61	35	35
t23	1	6	5	3	4	2	0	27	27	27
t13	1	6	5	3	4	2	0	61	35	35
t23	1	6	5	4	2	3	0	27	27	27
t13	1	6	5	4	2	3	0	61	35	35
t23	1	6	5	4	3	2	0	27	27	27
t13	1	6	5	4	3	2	0	61	35	35
t23	2	1	3	4	5	6	685	173	113	113
t13	2	1	3	4	5	6	48	28	17	17
t23	2	1	3	4	6	5	713	173	113	113
t13	2	1	3	4	6	5	48	28	17	17
t23	2	1	3	5	4	6	2564	173	113	113
t13	2	1	3	5	4	6	48	28	17	17
t23	2	1	3	5	6	4	1790	173	113	113
t13	2	1	3	5	6	4	48	28	17	17
t23	2	1	3	6	4	5	0	173	113	113
t13	2	1	3	6	4	5	0	28	17	17
t23	2	1	3	6	5	4	0	173	113	113
t13	2	1	3	6	5	4	0	28	17	17
t23	2	1	4	3	5	6	552	173	113	113
t13	2	1	4	3	5	6	63	31	20	20
t23	2	1	4	3	6	5	562	173	113	113
t13	2	1	4	3	6	5	63	31	20	20
t23	2	1	4	5	3	6	2327	173	113	113
t13	2	1	4	5	3	6	282	47	26	26
t23	2	1	4	5	6	3	1606	173	113	113
t13	2	1	4	5	6	3	226	34	22	22
t23	2	1	4	6	3	5	0	173	113	113
t13	2	1	4	6	3	5	0	47	26	26
t23	2	1	4	6	5	3	0	173	113	113
t13	2	1	4	6	5	3	0	34	22	22
t23	2	1	5	3	4	6	405	173	113	113
t13	2	1	5	3	4	6	89	51	29	29
t23	2	1	5	3	6	4	433	173	113	113
t13	2	1	5	3	6	4	127	46	25	25
t23	2	1	5	4	3	6	458	173	113	113
t13	2	1	5	4	3	6	105	51	29	29
t23	2	1	5	4	6	3	600	173	113	113
t13	2	1	5	4	6	3	144	46	25	25
t23	2	1	5	6	3	4	0	173	113	113
t13	2	1	5	6	3	4	0	53	31	31
t23	2	1	5	6	4	3	0	173	113	113
t13	2	1	5	6	4	3	0	53	31	31
t23	2	1	6	3	4	5	134	39	29	29
t13	2	1	6	3	4	5	147	61	35	35
t23	2	1	6	3	5	4	148	39	29	29
t13	2	1	6	3	5	4	147	61	35	35
t23	2	1	6	4	3	5	173	39	29	29
t13	2	1	6	4	3	5	148	61	35	35
t23	2	1	6	4	5	3	167	39	29	29
t13	2	1	6	4	5	3	149	61	35	35
t23	2	1	6	5	3	4	305	39	29	29
t13	2	1	6	5	3	4	206	61	35	35
t23	2	1	6	5	4	3	304	39	29	29
t13	2	1	6	5	4	3	226	61	35	35
t23	2	3	1	4	5	6	3828	173	113	113
t13	2	3	1	4	5	6	464	28	17	17
t23	2	3	1	4	6	5	3910	173	113	113
t13	2	3	1	4	6	5	464	28	17	17
t23	2	3	1	5	4	6	17630	173	113	113
t13	2	3	1	5	4	6	464	28	17	17
t23	2	3	1	5	6	4	9842	173	113	113
t13	2	3	1	5	6	4	464	28	17	17
t23	2	3	1	6	4	5	0	173	113	113
t13	2	3	1	6	4	5	0	28	17	17
t23	2	3	1	6	5	4	0	173	113	113
t13	2	3	1	6	5	4	0	28	17	17
t23	2	3	4	1	5	6	516	173	113	113
t13	2	3	4	1	5	6	84	31	20	20
t23	2	3	4	1	6	5	556	173	113	113
t13	2	3	4	1	6	5	84	31	20	20
t23	2	3	4	5	1	6	0	173	113	113
t13	2	3	4	5	1	6	0	47	26	26
t23	2	3	4	5	6	1	0	173	113	113
t13	2	3	4	5	6	1	0	34	22	22
t23	2	3	4	6	1	5	0	173	113	113
t13	2	3	4	6	1	5	0	47	26	26
t23	2	3	4	6	5	1	0	173	113	113
t13	2	3	4	6	5	1	0	34	22	22
t23	2	3	5	1	4	6	369	173	113	113
t13	2	3	5	1	4	6	105	51	29	29
t23	2	3	5	1	6	4	414	173	113	113
t13	2	3	5	1	6	4	156	46	25	25
t23	2	3	5	4	1	6	474	173	113	113
t13	2	3	5	4	1	6	157	51	29	29
t23	2	3	5	4	6	1	2530	173	113	113
t13	2	3	5	4	6	1	1097	46	25	25
t23	2	3	5	6	1	4	0	173	113	113
t13	2	3	5	6	1	4	0	53	31	31
t23	2	3	5	6	4	1	0	173	113	113
t13	2	3	5	6	4	1	0	53	31	31
t23	2	3	6	1	4	5	108	39	29	29
t13	2	3	6	1	4	5	159	61	35	35
t23	2	3	6	1	5	4	109	39	29	29
t13	2	3	6	1	5	4	176	61	35	35
t23	2	3	6	4	1	5	147	39	29	29
t13	2	3	6	4	1	5	217	61	35	35
t23	2	3	6	4	5	1	129	39	29	29
t13	2	3	6	4	5	1	222	61	35	35
t23	2	3	6	5	1	4	195	39	29	29
t13	2	3	6	5	1	4	306	61	35	35
t23	2	3	6	5	4	1	268	39	29	29
t13	2	3	6	5	4	1	337	61	35	35
t23	2	4	1	3	5	6	27102	173	113	113
t13	2	4	1	3	5	6	4492	31	20	20
t23	2	4	1	3	6	5	27971	173	113	113
t13	2	4	1	3	6	5	4492	31	20	20
t23	2	4	1	5	3	6	0	173	113	113
t13	2	4	1	5	3	6	0	47	26	26
t23	2	4	1	5	6	3	0	173	113	113
t13	2	4	1	5	6	3	0	34	22	22
t23	2	4	1	6	3	5	0	173	113	113
t13	2	4	1	6	3	5	0	47	26	26
t23	2	4	1	6	5	3	0	173	113	113
t13	2	4	1	6	5	3	0	34	22	22
t23	2	4	3	1	5	6	1073	173	113	113
t13	2	4	3	1	5	6	255	31	20	20
t23	2	4	3	1	6	5	1214	173	113	113
t13	2	4	3	1	6	5	255	31	20	20
t23	2	4	3	5	1	6	0	173	113	113
t13	2	4	3	5	1	6	0	47	26	26
t23	2	4	3	5	6	1	0	173	113	113
t13	2	4	3	5	6	1	0	34	22	22
t23	2	4	3	6	1	5	0	173	113	113
t13	2	4	3	6	1	5	0	47	26	26
t23	2	4	3	6	5	1	0	173	113	113
t13	2	4	3	6	5	1	0	34	22	22
t23	2	4	5	1	3	6	353	173	113	113
t13	2	4	5	1	3	6	139	51	29	29
t23	2	4	5	1	6	3	635	173	113	113
t13	2	4	5	1	6	3	299	46	25	25
t23	2	4	5	3	1	6	429	173	113	113
t13	2	4	5	3	1	6	172	51	29	29
t23	2	4	5	3	6	1	1667	173	113	113
t13	2	4	5	3	6	1	774	46	25	25
t23	2	4	5	6	1	3	0	173	113	113
t13	2	4	5	6	1	3	0	53	31	31
t23	2	4	5	6	3	1	0	173	113	113
t13	2	4	5	6	3	1	0	53	31	31
t23	2	4	6	1	3	5	90	39	29	29
t13	2	4	6	1	3	5	193	61	35	35
t23	2	4	6	1	5	3	103	39	29	29
t13	2	4	6	1	5	3	202	61	35	35
t23	2	4	6	3	1	5	96	39	29	29
t13	2	4	6	3	1	5	213	61	35	35
t23	2	4	6	3	5	1	111	39	29	29
t13	2	4	6	3	5	1	233	61	35	35
t23	2	4	6	5	1	3	171	39	29	29
t13	2	4	6	5	1	3	336	61	35	35
t23	2	4	6	5	3	1	227	39	29	29
t13	2	4	6	5	3	1	425	61	35	35
t23	2	5	1	3	4	6	0	173	113	113
t13	2	5	1	3	4	6	0	51	29	29
t23	2	5	1	3	6	4	0	173	113	113
t13	2	5	1	3	6	4	0	46	25	25
t23	2	5	1	4	3	6	0	173	113	113
t13	2	5	1	4	3	6	0	51	29	29
t23	2	5	1	4	6	3	0	173	113	113
t13	2	5	1	4	6	3	0	46	25	25
t23	2	5	1	6	3	4	0	173	113	113
t13	2	5	1	6	3	4	0	53	31	31
t23	2	5	1	6	4	3	0	173	113	113
t13	2	5	1	6	4	3	0	53	31	31
t23	2	5	3	1	4	6	0	173	113	113
t13	2	5	3	1	4	6	0	51	29	29
t23	2	5	3	1	6	4	0	173	113	113
t13	2	5	3	1	6	4	0	46	25	25
t23	2	5	3	4	1	6	0	173	113	113
t13	2	5	3	4	1	6	0	51	29	29
t23	2	5	3	4	6	1	0	173	113	113
t13	2	5	3	4	6	1	0	46	25	25
t23	2	5	3	6	1	4	0	173	113	113
t13	2	5	3	6	1	4	0	53	31	31
t23	2	5	3	6	4	1	0	173	113	113
t13	2	5	3	6	4	1	0	53	31	31
t23	2	5	4	1	3	6	0	173	113	113
t13	2	5	4	1	3	6	0	51	29	29
t23	2	5	4	1	6	3	0	173	113	113
t13	2	5	4	1	6	3	0	46	25	25
t23	2	5	4	3	1	6	0	173	113	113
t13	2	5	4	3	1	6	0	51	29	29
t23	2	5	4	3	6	1	0	173	113	113
t13	2	5	4	3	6	1	0	46	25	25
t23	2	5	4	6	1	3	0	173	113	113
t13	2	5	4	6	1	3	0	53	31	31
t23	2	5	4	6	3	1	0	173	113	113
t13	2	5	4	6	3	1	0	53	31	31
t23	2	5	6	1	3	4	82	27	27	27
t13	2	5	6	1	3	4	204	61	35	35
t23	2	5	6	1	4	3	78	27	27	27
t13	2	5	6	1	4	3	204	61	35	35
t23	2	5	6	3	1	4	88	27	27	27
t13	2	5	6	3	1	4	233	61	35	35
t23	2	5	6	3	4	1	90	27	27	27
t13	2	5	6	3	4	1	261	61	35	35
t23	2	5	6	4	1	3	90	27	27	27
t13	2	5	6	4	1	3	275	61	35	35
t23	2	5	6	4	3	1	126	27	27	27
t13	2	5	6	4	3	1	306	61	35	35
t23	2	6	1	3	4	5	0	31	31	31
t13	2	6	1	3	4	5	0	61	35	35
t23	2	6	1	3	5	4	0	31	31	31
t13	2	6	1	3	5	4	0	61	35	35
t23	2	6	1	4	3	5	0	31	31	31
t13	2	6	1	4	3	5	0	61	35	35
t23	2	6	1	4	5	3	0	31	31	31
t13	2	6	1	4	5	3	0	61	35	35
t23	2	6	1	5	3	4	0	31	31	31
t13	2	6	1	5	3	4	0	61	35	35
t23	2	6	1	5	4	3	0	31	31	31
t13	2	6	1	5	4	3	0	61	35	35
t23	2	6	3	1	4	5	0	31	31	31
t13	2	6	3	1	4	5	0	61	35	35
t23	2	6	3	1	5	4	0	31	31	31
t13	2	6	3	1	5	4	0	61	35	35
t23	2	6	3	4	1	5	0	31	31	31
t13	2	6	3	4	1	5	0	61	35	35
t23	2	6	3	4	5	1	0	31	31	31
t13	2	6	3	4	5	1	0	61	35	35
t23	2	6	3	5	1	4	0	31	31	31
t13	2	6	3	5	1	4	0	61	35	35
t23	2	6	3	5	4	1	0	31	31	31
t13	2	6	3	5	4	1	0	61	35	35
t23	2	6	4	1	3	5	0	31	31	31
t13	2	6	4	1	3	5	0	61	35	35
t23	2	6	4	1	5	3	0	31	31	31
t13	2	6	4	1	5	3	0	61	35	35
t23	2	6	4	3	1	5	0	31	31	31
t13	2	6	4	3	1	5	0	61	35	35
t23	2	6	4	3	5	1	0	31	31	31
t13	2	6	4	3	5	1	0	61	35	35
t23	2	6	4	5	1	3	0	31	31	31
t13	2	6	4	5	1	3	0	61	35	35
t23	2	6	4	5	3	1	0	31	31	31
t13	2	6	4	5	3	1	0	61	35	35
t23	2	6	5	1	3	4	0	27	27	27
t13	2	6	5	1	3	4	0	61	35	35
t23	2	6	5	1	4	3	0	27	27	27
t13	2	6	5	1	4	3	0	61	35	35
t23	2	6	5	3	1	4	0	27	27	27
t13	2	6	5	3	1	4	0	61	35	35
t23	2	6	5	3	4	1	0	27	27	27
t13	2	6	5	3	4	1	0	61	35	35
t23	2	6	5	4	1	3	0	27	27	27
t13	2	6	5	4	1	3	0	61	35	35
t23	2	6	5	4	3	1	0	27	27	27
t13	2	6	5	4	3	1	0	61	35	35
t23	3	1	2	4	5	6	862	173	113	113
t13	3	1	2	4	5	6	44	28	17	17
t23	3	1	2	4	6	5	879	173	113	113
t13	3	1	2	4	6	5	44	28	17	17
t23	3	1	2	5	4	6	3473	173	113	113
t13	3	1	2	5	4	6	44	28	17	17
t23	3	1	2	5	6	4	2167	173	113	113
t13	3	1	2	5	6	4	44	28	17	17
t23	3	1	2	6	4	5	0	173	113	113
t13	3	1	2	6	4	5	0	28	17	17
t23	3	1	2	6	5	4	0	173	113	113
t13	3	1	2	6	5	4	0	28	17	17
t23	3	1	4	2	5	6	448	173	113	113
t13	3	1	4	2	5	6	67	31	20	20
t23	3	1	4	2	6	5	481	173	113	113
t13	3	1	4	2	6	5	67	31	20	20
t23	3	1	4	5	2	6	0	173	113	113
t13	3	1	4	5	2	6	0	47	26	26
t23	3	1	4	5	6	2	0	173	113	113
t13	3	1	4	5	6	2	0	34	22	22
t23	3	1	4	6	2	5	0	173	113	113
t13	3	1	4	6	2	5	0	47	26	26
t23	3	1	4	6	5	2	0	173	113	113
t13	3	1	4	6	5	2	0	34	22	22
t23	3	1	5	2	4	6	312	173	113	113
t13	3	1	5	2	4	6	88	51	29	29
t23	3	1	5	2	6	4	362	173	113	113
t13	3	1	5	2	6	4	130	46	25	25
t23	3	1	5	4	2	6	453	173	113	113
t13	3	1	5	4	2	6	127	51	29	29
t23	3	1	5	4	6	2	1011	173	113	113
t13	3	1	5	4	6	2	331	46	25	25
t23	3	1	5	6	2	4	0	173	113	113
t13	3	1	5	6	2	4	0	53	31	31
t23	3	1	5	6	4	2	0	173	113	113
t13	3	1	5	6	4	2	0	53	31	31
t23	3	1	6	2	4	5	112	39	29	29
t13	3	1	6	2	4	5	133	61	35	35
t23	3	1	6	2	5	4	113	39	29	29
t13	3	1	6	2	5	4	150	61	35	35
t23	3	1	6	4	2	5	153	39	29	29
t13	3	1	6	4	2	5	183	61	35	35
t23	3	1	6	4	5	2	139	39	29	29
t13	3	1	6	4	5	2	192	61	35	35
t23	3	1	6	5	2	4	203	39	29	29
t13	3	1	6	5	2	4	229	61	35	35
t23	3	1	6	5	4	2	276	39	29	29
t13	3	1	6	5	4	2	265	61	35	35
t23	3	2	1	4	5	6	1007	173	113	113
t13	3	2	1	4	5	6	69	28	17	17
t23	3	2	1	4	6	5	1017	173	113	113
t13	3	2	1	4	6	5	69	28	17	17
t23	3	2	1	5	4	6	4394	173	113	113
t13	3	2	1	5	4	6	69	28	17	17
t23	3	2	1	5	6	4	2689	173	113	113
t13	3	2	1	5	6	4	69	28	17	17
t23	3	2	1	6	4	5	0	173	113	113
t13	3	2	1	6	4	5	0	28	17	17
t23	3	2	1	6	5	4	0	173	113	113
t13	3	2	1	6	5	4	0	28	17	17
t23	3	2	4	1	5	6	440	173	113	113
t13	3	2	4	1	5	6	70	31	20	20
t23	3	2	4	1	6	5	477	173	113	113
t13	3	2	4	1	6	5	70	31	20	20
t23	3	2	4	5	1	6	0	173	113	113
t13	3	2	4	5	1	6	0	47	26	26
t23	3	2	4	5	6	1	0	173	113	113
t13	3	2	4	5	6	1	0	34	22	22
t23	3	2	4	6	1	5	0	173	113	113
t13	3	2	4	6	1	5	0	47	26	26
t23	3	2	4	6	5	1	0	173	113	113
t13	3	2	4	6	5	1	0	34	22	22
t23	3	2	5	1	4	6	293	173	113	113
t13	3	2	5	1	4	6	91	51	29	29
t23	3	2	5	1	6	4	358	173	113	113
t13	3	2	5	1	6	4	136	46	25	25
t23	3	2	5	4	1	6	447	173	113	113
t13	3	2	5	4	1	6	143	51	29	29
t23	3	2	5	4	6	1	1383	173	113	113
t13	3	2	5	4	6	1	519	46	25	25
t23	3	2	5	6	1	4	0	173	113	113
t13	3	2	5	6	1	4	0	53	31	31
t23	3	2	5	6	4	1	0	173	113	113
t13	3	2	5	6	4	1	0	53	31	31
t23	3	2	6	1	4	5	108	39	29	29
t13	3	2	6	1	4	5	139	61	35	35
t23	3	2	6	1	5	4	109	39	29	29
t13	3	2	6	1	5	4	156	61	35	35
t23	3	2	6	4	1	5	147	39	29	29
t13	3	2	6	4	1	5	201	61	35	35
t23	3	2	6	4	5	1	133	39	29	29
t13	3	2	6	4	5	1	212	61	35	35
t23	3	2	6	5	1	4	195	39	29	29
t13	3	2	6	5	1	4	265	61	35	35
t23	3	2	6	5	4	1	270	39	29	29
t13	3	2	6	5	4	1	295	61	35	35
t23	3	4	1	2	5	6	0	173	113	113
t13	3	4	1	2	5	6	0	31	20	20
t23	3	4	1	2	6	5	0	173	113	113
t13	3	4	1	2	6	5	0	31	20	20
t23	3	4	1	5	2	6	0	173	113	113
t13	3	4	1	5	2	6	0	47	26	26
t23	3	4	1	5	6	2	0	173	113	113
t13	3	4	1	5	6	2	0	34	22	22
t23	3	4	1	6	2	5	0	173	113	113
t13	3	4	1	6	2	5	0	47	26	26
t23	3	4	1	6	5	2	0	173	113	113
t13	3	4	1	6	5	2	0	34	22	22
t23	3	4	2	1	5	6	0	173	113	113
t13	3	4	2	1	5	6	0	31	20	20
t23	3	4	2	1	6	5	0	173	113	113
t13	3	4	2	1	6	5	0	31	20	20
t23	3	4	2	5	1	6	0	173	113	113
t13	3	4	2	5	1	6	0	47	26	26
t23	3	4	2	5	6	1	0	173	113	113
t13	3	4	2	5	6	1	0	34	22	22
t23	3	4	2	6	1	5	0	173	113	113
t13	3	4	2	6	1	5	0	47	26	26
t23	3	4	2	6	5	1	0	173	113	113
t13	3	4	2	6	5	1	0	34	22	22
