Chain	ctx-a	ctx-b	ctx-c	STD	TC	diff
t33	1	2	3	350	90	260
t13	1	2	3	110	60	50
t23	1	2	3	270	70	200
t33	1	3	2	270	70	200
t13	1	3	2	110	60	50
t23	1	3	2	350	90	260
t33	2	1	3	400	90	310
t13	2	1	3	190	70	120
t23	2	1	3	240	70	170
t33	2	3	1	240	70	170
t13	2	3	1	190	70	120
t23	2	3	1	400	90	310
t33	3	1	2	370	90	280
t13	3	1	2	270	90	180
t23	3	1	2	290	90	200
t33	3	2	1	290	90	200
t13	3	2	1	270	90	180
t23	3	2	1	370	90	280
