Chain	ctx11	ctx12	ctx13	ctx21	ctx22	ctx23	STD	TC	ASYNC
t23	1	4	5	6	3	2	0	173	173
t13	1	4	5	6	3	2	0	28	55
t23	1	4	6	2	3	5	100	53	53
t13	1	4	6	2	3	5	189	75	75
t23	1	4	6	2	5	3	113	53	53
t13	1	4	6	2	5	3	196	75	75
t23	1	4	6	3	2	5	116	53	53
t13	1	4	6	3	2	5	190	75	75
t23	1	4	6	3	5	2	131	53	53
t13	1	4	6	3	5	2	208	75	75
t23	1	4	6	5	2	3	242	53	53
t13	1	4	6	5	2	3	369	75	75
t23	1	4	6	5	3	2	245	53	53
t13	1	4	6	5	3	2	390	75	75
t23	1	5	2	3	4	6	0	173	173
t13	1	5	2	3	4	6	0	53	53
t23	1	5	2	3	6	4	0	173	173
t13	1	5	2	3	6	4	0	48	48
t23	1	5	2	4	3	6	0	173	173
t13	1	5	2	4	3	6	0	53	53
t23	1	5	2	4	6	3	0	173	173
t13	1	5	2	4	6	3	0	48	48
t23	1	5	2	6	3	4	0	173	173
t13	1	5	2	6	3	4	0	28	55
t23	1	5	2	6	4	3	0	173	173
t13	1	5	2	6	4	3	0	28	55
t23	1	5	3	2	4	6	0	173	173
t13	1	5	3	2	4	6	0	53	53
t23	1	5	3	2	6	4	0	173	173
t13	1	5	3	2	6	4	0	48	48
t23	1	5	3	4	2	6	0	173	173
t13	1	5	3	4	2	6	0	53	53
t23	1	5	3	4	6	2	0	173	173
t13	1	5	3	4	6	2	0	48	48
t23	1	5	3	6	2	4	0	173	173
t13	1	5	3	6	2	4	0	28	55
t23	1	5	3	6	4	2	0	173	173
t13	1	5	3	6	4	2	0	28	55
t23	1	5	4	2	3	6	0	173	173
t13	1	5	4	2	3	6	0	53	53
t23	1	5	4	2	6	3	0	173	173
t13	1	5	4	2	6	3	0	48	48
t23	1	5	4	3	2	6	0	173	173
t13	1	5	4	3	2	6	0	53	53
t23	1	5	4	3	6	2	0	173	173
t13	1	5	4	3	6	2	0	48	48
