Path	ctx-a	ctx-b	ctx-u	ctx-v	ctx-y	ctx-z	ctx-p	Uniform
t25	1	2	5	3	4	6	7	420
t39	1	2	5	3	4	6	7	210
t17	1	2	5	3	4	6	7	210
t25	1	2	5	3	4	7	6	400
t39	1	2	5	3	4	7	6	210
t17	1	2	5	3	4	7	6	200
t25	1	2	5	3	6	4	7	420
t39	1	2	5	3	6	4	7	210
t17	1	2	5	3	6	4	7	210
t25	1	2	5	3	6	7	4	230
t39	1	2	5	3	6	7	4	210
t17	1	2	5	3	6	7	4	100
t25	1	2	5	3	7	4	6	300
t39	1	2	5	3	7	4	6	210
t17	1	2	5	3	7	4	6	150
t25	1	2	5	3	7	6	4	230
t39	1	2	5	3	7	6	4	210
t17	1	2	5	3	7	6	4	100
t25	1	2	5	4	3	6	7	420
t39	1	2	5	4	3	6	7	210
t17	1	2	5	4	3	6	7	210
t25	1	2	5	4	3	7	6	400
t39	1	2	5	4	3	7	6	210
t17	1	2	5	4	3	7	6	200
t25	1	2	5	4	6	3	7	420
t39	1	2	5	4	6	3	7	210
t17	1	2	5	4	6	3	7	210
t25	1	2	5	4	6	7	3	210
t39	1	2	5	4	6	7	3	210
t17	1	2	5	4	6	7	3	80
t25	1	2	5	4	7	3	6	300
t39	1	2	5	4	7	3	6	210
t17	1	2	5	4	7	3	6	150
t25	1	2	5	4	7	6	3	210
t39	1	2	5	4	7	6	3	210
t17	1	2	5	4	7	6	3	80
t25	1	2	5	6	3	4	7	420
t39	1	2	5	6	3	4	7	210
t17	1	2	5	6	3	4	7	210
t25	1	2	5	6	3	7	4	350
t39	1	2	5	6	3	7	4	210
t17	1	2	5	6	3	7	4	150
t25	1	2	5	6	4	3	7	420
t39	1	2	5	6	4	3	7	210
t17	1	2	5	6	4	3	7	210
t25	1	2	5	6	4	7	3	280
t39	1	2	5	6	4	7	3	210
t17	1	2	5	6	4	7	3	80
t25	1	2	5	6	7	3	4	250
t39	1	2	5	6	7	3	4	210
t17	1	2	5	6	7	3	4	100
t25	1	2	5	6	7	4	3	230
t39	1	2	5	6	7	4	3	210
t17	1	2	5	6	7	4	3	80
t25	1	2	5	7	3	4	6	390
t39	1	2	5	7	3	4	6	180
t17	1	2	5	7	3	4	6	180
t25	1	2	5	7	3	6	4	360
t39	1	2	5	7	3	6	4	180
t17	1	2	5	7	3	6	4	150
t25	1	2	5	7	4	3	6	390
t39	1	2	5	7	4	3	6	180
t17	1	2	5	7	4	3	6	180
t25	1	2	5	7	4	6	3	290
t39	1	2	5	7	4	6	3	180
t17	1	2	5	7	4	6	3	80
t25	1	2	5	7	6	3	4	310
t39	1	2	5	7	6	3	4	180
