Chain	S_P	S_TC	S_O1OR	S_OM	S_S	S_LA	TC
LA::4	2	3	6	4	1	5	76
P::2	2	3	6	4	1	5	76
LA::4	2	3	6	4	5	1	76
P::2	2	3	6	4	5	1	76
LA::4	2	3	6	5	1	4	76
P::2	2	3	6	5	1	4	76
LA::4	2	3	6	5	4	1	76
P::2	2	3	6	5	4	1	76
LA::4	2	4	1	3	5	6	76
P::2	2	4	1	3	5	6	46
LA::4	2	4	1	3	6	5	76
P::2	2	4	1	3	6	5	46
LA::4	2	4	1	5	3	6	76
P::2	2	4	1	5	3	6	46
LA::4	2	4	1	5	6	3	76
P::2	2	4	1	5	6	3	56
LA::4	2	4	1	6	3	5	76
P::2	2	4	1	6	3	5	46
LA::4	2	4	1	6	5	3	76
P::2	2	4	1	6	5	3	56
LA::4	2	4	3	1	5	6	76
P::2	2	4	3	1	5	6	46
LA::4	2	4	3	1	6	5	76
P::2	2	4	3	1	6	5	46
LA::4	2	4	3	5	1	6	76
P::2	2	4	3	5	1	6	46
LA::4	2	4	3	5	6	1	76
P::2	2	4	3	5	6	1	56
LA::4	2	4	3	6	1	5	76
P::2	2	4	3	6	1	5	46
LA::4	2	4	3	6	5	1	76
P::2	2	4	3	6	5	1	56
LA::4	2	4	5	1	3	6	76
P::2	2	4	5	1	3	6	56
LA::4	2	4	5	1	6	3	76
P::2	2	4	5	1	6	3	66
LA::4	2	4	5	3	1	6	76
P::2	2	4	5	3	1	6	56
LA::4	2	4	5	3	6	1	76
P::2	2	4	5	3	6	1	66
LA::4	2	4	5	6	1	3	76
P::2	2	4	5	6	1	3	66
LA::4	2	4	5	6	3	1	76
P::2	2	4	5	6	3	1	66
LA::4	2	4	6	1	3	5	76
P::2	2	4	6	1	3	5	76
LA::4	2	4	6	1	5	3	76
P::2	2	4	6	1	5	3	76
LA::4	2	4	6	3	1	5	76
P::2	2	4	6	3	1	5	76
LA::4	2	4	6	3	5	1	76
P::2	2	4	6	3	5	1	76
LA::4	2	4	6	5	1	3	76
P::2	2	4	6	5	1	3	76
LA::4	2	4	6	5	3	1	76
P::2	2	4	6	5	3	1	76
LA::4	2	5	1	3	4	6	76
P::2	2	5	1	3	4	6	56
LA::4	2	5	1	3	6	4	76
P::2	2	5	1	3	6	4	66
LA::4	2	5	1	4	3	6	76
P::2	2	5	1	4	3	6	56
LA::4	2	5	1	4	6	3	76
P::2	2	5	1	4	6	3	66
LA::4	2	5	1	6	3	4	76
P::2	2	5	1	6	3	4	66
LA::4	2	5	1	6	4	3	76
P::2	2	5	1	6	4	3	66
LA::4	2	5	3	1	4	6	76
P::2	2	5	3	1	4	6	56
LA::4	2	5	3	1	6	4	76
P::2	2	5	3	1	6	4	66
LA::4	2	5	3	4	1	6	76
P::2	2	5	3	4	1	6	56
LA::4	2	5	3	4	6	1	76
P::2	2	5	3	4	6	1	66
LA::4	2	5	3	6	1	4	76
P::2	2	5	3	6	1	4	66
LA::4	2	5	3	6	4	1	76
P::2	2	5	3	6	4	1	66
LA::4	2	5	4	1	3	6	76
P::2	2	5	4	1	3	6	56
LA::4	2	5	4	1	6	3	76
P::2	2	5	4	1	6	3	66
LA::4	2	5	4	3	1	6	76
P::2	2	5	4	3	1	6	56
LA::4	2	5	4	3	6	1	76
P::2	2	5	4	3	6	1	66
LA::4	2	5	4	6	1	3	76
P::2	2	5	4	6	1	3	66
LA::4	2	5	4	6	3	1	76
P::2	2	5	4	6	3	1	66
LA::4	2	5	6	1	3	4	76
P::2	2	5	6	1	3	4	76
LA::4	2	5	6	1	4	3	76
P::2	2	5	6	1	4	3	76
LA::4	2	5	6	3	1	4	76
P::2	2	5	6	3	1	4	76
LA::4	2	5	6	3	4	1	76
P::2	2	5	6	3	4	1	76
