Branching	Index	Inherit	Length	Load	Nesting	Number	Sharing	filename	Uniform	Time
2	73	True	13	50	0	2	0	model-73.graphml	SCHED	0.043357204999999954
2	74	True	13	50	0	2	0	model-74.graphml	SCHED	0.04359812400000029
2	75	True	13	50	0	2	0	model-75.graphml	SCHED	0.043897309000000106
2	76	True	13	50	0	2	0	model-76.graphml	SCHED	0.04306560000000026
2	77	True	13	50	0	2	0	model-77.graphml	SCHED	0.057581465999999804
2	78	True	13	50	0	2	0	model-78.graphml	SCHED	0.042827620999999816
2	79	True	13	50	0	2	0	model-79.graphml	SCHED	0.057591979000000126
2	80	True	13	50	0	2	0	model-80.graphml	SCHED	0.057719580000000104
2	81	True	13	60	0	2	0	model-81.graphml	SCHED	0.04317607800000012
2	82	True	13	60	0	2	0	model-82.graphml	SCHED	0.043137164000000006
2	83	True	13	60	0	2	0	model-83.graphml	SCHED	0.0428171719999999
2	84	True	13	60	0	2	0	model-84.graphml	SCHED	0.04310324199999993
2	85	True	13	60	0	2	0	model-85.graphml	SCHED	0.04310058300000019
2	86	True	13	60	0	2	0	model-86.graphml	SCHED	0.043157067000000104
2	87	True	13	60	0	2	0	model-87.graphml	SCHED	0.05734328100000008
2	88	True	13	60	0	2	0	model-88.graphml	SCHED	0.043045188000000234
2	89	True	13	60	0	2	0	model-89.graphml	SCHED	0.05748517499999961
2	90	True	13	60	0	2	0	model-90.graphml	SCHED	0.0431597810000004
2	91	True	13	70	0	2	0	model-91.graphml	SCHED	0.042799655999999686
2	92	True	13	70	0	2	0	model-92.graphml	SCHED	0.04282834400000013
2	93	True	13	70	0	2	0	model-93.graphml	SCHED	0.04319235999999993
2	94	True	13	70	0	2	0	model-94.graphml	SCHED	0.04358097399999927
2	95	True	13	70	0	2	0	model-95.graphml	SCHED	0.05776836700000043
2	96	True	13	70	0	2	0	model-96.graphml	SCHED	0.05742680400000033
2	97	True	13	70	0	2	0	model-97.graphml	SCHED	0.04345215600000074
2	98	True	13	70	0	2	0	model-98.graphml	SCHED	0.043112003000000065
2	99	True	13	70	0	2	0	model-99.graphml	SCHED	0.043327196999999984
2	100	True	13	70	0	2	0	model-100.graphml	SCHED	0.05747651999999981
2	101	True	13	80	0	2	0	model-101.graphml	SCHED	0.057762418999999454
2	102	True	13	80	0	2	0	model-102.graphml	SCHED	0.04333196500000014
2	103	True	13	80	0	2	0	model-103.graphml	SCHED	0.057816594000000165
2	104	True	13	80	0	2	0	model-104.graphml	SCHED	0.05760807700000026
2	105	True	13	80	0	2	0	model-105.graphml	SCHED	0.05777418400000034
2	106	True	13	80	0	2	0	model-106.graphml	SCHED	0.04383638799999989
2	107	True	13	80	0	2	0	model-107.graphml	SCHED	0.043157132000000153
2	108	True	13	80	0	2	0	model-108.graphml	SCHED	0.05798715099999985
2	109	True	13	80	0	2	0	model-109.graphml	SCHED	0.04345863200000011
2	110	True	13	80	0	2	0	model-110.graphml	SCHED	0.057538207999999536
2	111	True	13	90	0	2	0	model-111.graphml	SCHED	0.04394782699999933
2	112	True	13	90	0	2	0	model-112.graphml	SCHED	0.05727081700000003
2	113	True	13	90	0	2	0	model-113.graphml	SCHED	0.04415668299999975
2	114	True	13	90	0	2	0	model-114.graphml	SCHED	0.05751995899999951
2	115	True	13	90	0	2	0	model-115.graphml	SCHED	0.043662723000000625
2	116	True	13	90	0	2	0	model-116.graphml	SCHED	0.04352432499999992
2	117	True	13	90	0	2	0	model-117.graphml	SCHED	0.057576281999999424
2	118	True	13	90	0	2	0	model-118.graphml	SCHED	0.05790187199999952
2	119	True	13	90	0	2	0	model-119.graphml	SCHED	0.043479849999999765
2	120	True	13	90	0	2	0	model-120.graphml	SCHED	0.04380979399999951
2	121	True	13	95	0	2	0	model-121.graphml	SCHED	0.05798832400000009
2	122	True	13	95	0	2	0	model-122.graphml	SCHED	0.043754638000000234
2	123	True	13	95	0	2	0	model-123.graphml	SCHED	0.04399749599999936
2	124	True	13	95	0	2	0	model-124.graphml	SCHED	0.04372406600000023
2	125	True	13	95	0	2	0	model-125.graphml	SCHED	0.043928837000000165
2	126	True	13	95	0	2	0	model-126.graphml	SCHED	0.057919006999999745
2	127	True	13	95	0	2	0	model-127.graphml	SCHED	0.058404416000000126
