Branching	Index	Inherit	Length	Load	Nesting	Number	Sharing	filename	CPA	Time
2	15197	False	13	50	0	2	0	model-15197.graphml	UNSCHED	2.4376602719999596
2	15198	False	13	50	0	2	0	model-15198.graphml	UNSCHED	8.749682213000028
2	15199	False	13	50	0	2	0	model-15199.graphml	UNSCHED	1.5793721649999952
2	15200	False	13	50	0	2	0	model-15200.graphml	UNSCHED	3.2122229630000447
2	15201	False	13	60	0	2	0	model-15201.graphml	UNSCHED	5.363906430000043
2	15202	False	13	60	0	2	0	model-15202.graphml	UNSCHED	3.7211784539999826
2	15203	False	13	60	0	2	0	model-15203.graphml	UNSCHED	0.7294460660000368
2	15204	False	13	60	0	2	0	model-15204.graphml	UNSCHED	2.7295785430000024
2	15205	False	13	60	0	2	0	model-15205.graphml	UNSCHED	9.860866563000002
2	15206	False	13	60	0	2	0	model-15206.graphml	UNSCHED	1.0055559410000114
2	15207	False	13	60	0	2	0	model-15207.graphml	UNSCHED	10.87674198100001
2	15208	False	13	60	0	2	0	model-15208.graphml	UNSCHED	0.2295013869999707
2	15209	False	13	60	0	2	0	model-15209.graphml	UNSCHED	1.8652560340000264
2	15210	False	13	60	0	2	0	model-15210.graphml	UNSCHED	1.9182117719999496
2	15211	False	13	70	0	2	0	model-15211.graphml	UNSCHED	0.1743037969999932
2	15212	False	13	70	0	2	0	model-15212.graphml	UNSCHED	0.9939731380000012
2	15213	False	13	70	0	2	0	model-15213.graphml	UNSCHED	0.3771463549999794
2	15214	False	13	70	0	2	0	model-15214.graphml	UNSCHED	0.24646900400000504
2	15215	False	13	70	0	2	0	model-15215.graphml	UNSCHED	1.242803945999981
2	15216	False	13	70	0	2	0	model-15216.graphml	UNSCHED	0.8818824840000161
2	15217	False	13	70	0	2	0	model-15217.graphml	UNSCHED	0.175090186000034
2	15218	False	13	70	0	2	0	model-15218.graphml	UNSCHED	1.4975589969999987
2	15219	False	13	70	0	2	0	model-15219.graphml	UNSCHED	0.2274091970000427
2	15220	False	13	70	0	2	0	model-15220.graphml	UNSCHED	0.3771286720000262
2	15221	False	13	80	0	2	0	model-15221.graphml	UNSCHED	0.32731206400001156
2	15222	False	13	80	0	2	0	model-15222.graphml	UNSCHED	1.309830513999998
2	15223	False	13	80	0	2	0	model-15223.graphml	UNSCHED	0.1538651239999922
2	15224	False	13	80	0	2	0	model-15224.graphml	UNSCHED	0.12507380100004184
2	15225	False	13	80	0	2	0	model-15225.graphml	UNSCHED	3.1294931580000025
2	15226	False	13	80	0	2	0	model-15226.graphml	UNSCHED	0.9833017090000453
2	15227	False	13	80	0	2	0	model-15227.graphml	UNSCHED	1.8104850260000376
2	15228	False	13	80	0	2	0	model-15228.graphml	UNSCHED	0.19784830200001124
2	15229	False	13	80	0	2	0	model-15229.graphml	UNSCHED	0.576787061999994
2	15230	False	13	80	0	2	0	model-15230.graphml	UNSCHED	0.1254574660000003
2	15231	False	13	90	0	2	0	model-15231.graphml	UNSCHED	0.10589316899995538
2	15232	False	13	90	0	2	0	model-15232.graphml	UNSCHED	0.13577622700000802
2	15233	False	13	90	0	2	0	model-15233.graphml	UNSCHED	0.10693894399997816
2	15234	False	13	90	0	2	0	model-15234.graphml	UNSCHED	0.09440868299998328
2	15235	False	13	90	0	2	0	model-15235.graphml	UNSCHED	0.17257082399999035
2	15236	False	13	90	0	2	0	model-15236.graphml	UNSCHED	2.7023167719999606
2	15237	False	13	90	0	2	0	model-15237.graphml	UNSCHED	0.16031581699996877
2	15238	False	13	90	0	2	0	model-15238.graphml	UNSCHED	0.09471474999998009
2	15239	False	13	90	0	2	0	model-15239.graphml	UNSCHED	0.2296257390000278
2	15240	False	13	90	0	2	0	model-15240.graphml	UNSCHED	0.08163126100004092
2	15241	False	13	95	0	2	0	model-15241.graphml	UNSCHED	0.5142364719999932
2	15242	False	13	95	0	2	0	model-15242.graphml	UNSCHED	0.1685767829999918
2	15243	False	13	95	0	2	0	model-15243.graphml	UNSCHED	0.09464975700001332
2	15244	False	13	95	0	2	0	model-15244.graphml	UNSCHED	1.5008164989999955
2	15245	False	13	95	0	2	0	model-15245.graphml	UNSCHED	0.11941917900003318
2	15246	False	13	95	0	2	0	model-15246.graphml	UNSCHED	0.21892112699998734
2	15247	False	13	95	0	2	0	model-15247.graphml	UNSCHED	0.19241331399996398
2	15248	False	13	95	0	2	0	model-15248.graphml	UNSCHED	0.17563772200003314
2	15249	False	13	95	0	2	0	model-15249.graphml	UNSCHED	0.12287114599996585
2	15250	False	13	95	0	2	0	model-15250.graphml	UNSCHED	0.4221175979999998
2	15251	False	13	98	0	2	0	model-15251.graphml	UNSCHED	0.09991456400001653
2	15252	False	13	98	0	2	0	model-15252.graphml	UNSCHED	0.2984378300000117
2	15253	False	13	98	0	2	0	model-15253.graphml	UNSCHED	0.16557297800000015
2	15254	False	13	98	0	2	0	model-15254.graphml	UNSCHED	0.1944174370000269
2	15255	False	13	98	0	2	0	model-15255.graphml	UNSCHED	0.10264548300000342
2	15256	False	13	98	0	2	0	model-15256.graphml	UNSCHED	0.09709864800004198
2	15257	False	13	98	0	2	0	model-15257.graphml	UNSCHED	0.08637110199998688
2	15258	False	13	98	0	2	0	model-15258.graphml	UNSCHED	0.09027807800003984
2	15259	False	13	98	0	2	0	model-15259.graphml	UNSCHED	0.08555805399998917
2	15260	False	13	98	0	2	0	model-15260.graphml	UNSCHED	0.09931042700003445
