Branching	Index	Inherit	Length	Load	Nesting	Number	Sharing	filename	Uniform	Time
2	73	False	13	50	0	2	0	model-73.graphml	SCHED	0.03890790099999997
2	74	False	13	50	0	2	0	model-74.graphml	SCHED	0.039589650000000365
2	75	False	13	50	0	2	0	model-75.graphml	SCHED	0.05305123800000011
2	76	False	13	50	0	2	0	model-76.graphml	SCHED	0.05303551200000012
2	77	False	13	50	0	2	0	model-77.graphml	SCHED	0.039223236999999855
2	78	False	13	50	0	2	0	model-78.graphml	SCHED	0.03919151500000018
2	79	False	13	50	0	2	0	model-79.graphml	SCHED	0.03926073100000016
2	80	False	13	50	0	2	0	model-80.graphml	SCHED	0.05246115199999979
2	81	False	13	60	0	2	0	model-81.graphml	SCHED	0.03952298600000015
2	82	False	13	60	0	2	0	model-82.graphml	SCHED	0.03940187800000006
2	83	False	13	60	0	2	0	model-83.graphml	SCHED	0.040102821000000066
2	84	False	13	60	0	2	0	model-84.graphml	SCHED	0.039259890999999936
2	85	False	13	60	0	2	0	model-85.graphml	SCHED	0.038789890999999965
2	86	False	13	60	0	2	0	model-86.graphml	SCHED	0.05271108599999996
2	87	False	13	60	0	2	0	model-87.graphml	SCHED	0.052413395999999945
2	88	False	13	60	0	2	0	model-88.graphml	SCHED	0.03958064200000022
2	89	False	13	60	0	2	0	model-89.graphml	SCHED	0.039766847000000105
2	90	False	13	60	0	2	0	model-90.graphml	SCHED	0.03990834899999962
2	91	False	13	70	0	2	0	model-91.graphml	SCHED	0.052091670999999895
2	92	False	13	70	0	2	0	model-92.graphml	SCHED	0.039228322999999676
2	93	False	13	70	0	2	0	model-93.graphml	SCHED	0.039732048999999936
2	94	False	13	70	0	2	0	model-94.graphml	SCHED	0.051960985000000015
2	95	False	13	70	0	2	0	model-95.graphml	SCHED	0.04000141700000004
2	96	False	13	70	0	2	0	model-96.graphml	SCHED	0.052386017999999535
2	97	False	13	70	0	2	0	model-97.graphml	SCHED	0.05262499099999918
2	98	False	13	70	0	2	0	model-98.graphml	SCHED	0.03967926300000002
2	99	False	13	70	0	2	0	model-99.graphml	SCHED	0.03968442700000008
2	100	False	13	70	0	2	0	model-100.graphml	SCHED	0.03932089999999988
2	101	False	13	80	0	2	0	model-101.graphml	SCHED	0.039433997999999804
2	102	False	13	80	0	2	0	model-102.graphml	SCHED	0.039545736
2	103	False	13	80	0	2	0	model-103.graphml	SCHED	0.052376144000000124
2	104	False	13	80	0	2	0	model-104.graphml	SCHED	0.05293779899999951
2	105	False	13	80	0	2	0	model-105.graphml	SCHED	0.0392760989999994
2	106	False	13	80	0	2	0	model-106.graphml	SCHED	0.05263378600000035
2	107	False	13	80	0	2	0	model-107.graphml	SCHED	0.046537018999999624
2	108	False	13	80	0	2	0	model-108.graphml	SCHED	0.05247367400000069
2	109	False	13	80	0	2	0	model-109.graphml	SCHED	0.05271475400000014
2	110	False	13	80	0	2	0	model-110.graphml	SCHED	0.03940581200000004
2	111	False	13	90	0	2	0	model-111.graphml	SCHED	0.057503644999999715
2	112	False	13	90	0	2	0	model-112.graphml	SCHED	0.03975593100000019
2	113	False	13	90	0	2	0	model-113.graphml	SCHED	0.052252034000000336
2	114	False	13	90	0	2	0	model-114.graphml	SCHED	0.03920931900000024
2	115	False	13	90	0	2	0	model-115.graphml	SCHED	0.03976417800000043
2	116	False	13	90	0	2	0	model-116.graphml	SCHED	0.052291254999999204
