Path	ctx-a	ctx-b	ctx-u	ctx-v	ctx-y	ctx-z	ctx-p	Mixed
t25	1	3	4	2	7	5	6	120
t39	1	3	4	2	7	5	6	210
t17	1	3	4	2	7	5	6	120
t25	1	3	4	2	7	6	5	120
t39	1	3	4	2	7	6	5	210
t17	1	3	4	2	7	6	5	120
t25	1	3	4	5	2	6	7	210
t39	1	3	4	5	2	6	7	210
t17	1	3	4	5	2	6	7	210
t25	1	3	4	5	2	7	6	160
t39	1	3	4	5	2	7	6	210
t17	1	3	4	5	2	7	6	160
t25	1	3	4	5	6	2	7	210
t39	1	3	4	5	6	2	7	210
t17	1	3	4	5	6	2	7	210
t25	1	3	4	5	6	7	2	120
t39	1	3	4	5	6	7	2	210
t17	1	3	4	5	6	7	2	80
t25	1	3	4	5	7	2	6	120
t39	1	3	4	5	7	2	6	210
t17	1	3	4	5	7	2	6	120
t25	1	3	4	5	7	6	2	120
t39	1	3	4	5	7	6	2	210
t17	1	3	4	5	7	6	2	80
t25	1	3	4	6	2	5	7	210
t39	1	3	4	6	2	5	7	210
t17	1	3	4	6	2	5	7	210
t25	1	3	4	6	2	7	5	160
t39	1	3	4	6	2	7	5	210
t17	1	3	4	6	2	7	5	150
t25	1	3	4	6	5	2	7	210
t39	1	3	4	6	5	2	7	210
t17	1	3	4	6	5	2	7	210
t25	1	3	4	6	5	7	2	160
t39	1	3	4	6	5	7	2	210
t17	1	3	4	6	5	7	2	80
t25	1	3	4	6	7	2	5	120
t39	1	3	4	6	7	2	5	210
t17	1	3	4	6	7	2	5	100
t25	1	3	4	6	7	5	2	120
t39	1	3	4	6	7	5	2	210
t17	1	3	4	6	7	5	2	80
t25	1	3	4	7	2	5	6	210
t39	1	3	4	7	2	5	6	180
t17	1	3	4	7	2	5	6	170
t25	1	3	4	7	2	6	5	210
t39	1	3	4	7	2	6	5	180
t17	1	3	4	7	2	6	5	150
t25	1	3	4	7	5	2	6	210
t39	1	3	4	7	5	2	6	180
t17	1	3	4	7	5	2	6	170
t25	1	3	4	7	5	6	2	210
t39	1	3	4	7	5	6	2	180
t17	1	3	4	7	5	6	2	80
t25	1	3	4	7	6	2	5	210
t39	1	3	4	7	6	2	5	180
t17	1	3	4	7	6	2	5	100
t25	1	3	4	7	6	5	2	210
t39	1	3	4	7	6	5	2	180
t17	1	3	4	7	6	5	2	80
t25	1	3	5	2	4	6	7	210
t39	1	3	5	2	4	6	7	210
t17	1	3	5	2	4	6	7	210
t25	1	3	5	2	4	7	6	160
t39	1	3	5	2	4	7	6	210
t17	1	3	5	2	4	7	6	160
t25	1	3	5	2	6	4	7	210
t39	1	3	5	2	6	4	7	210
t17	1	3	5	2	6	4	7	210
t25	1	3	5	2	6	7	4	120
t39	1	3	5	2	6	7	4	210
t17	1	3	5	2	6	7	4	100
t25	1	3	5	2	7	4	6	120
t39	1	3	5	2	7	4	6	210
t17	1	3	5	2	7	4	6	120
t25	1	3	5	2	7	6	4	120
t39	1	3	5	2	7	6	4	210
t17	1	3	5	2	7	6	4	100
t25	1	3	5	4	2	6	7	210
t39	1	3	5	4	2	6	7	210
t17	1	3	5	4	2	6	7	210
t25	1	3	5	4	2	7	6	160
t39	1	3	5	4	2	7	6	210
t17	1	3	5	4	2	7	6	160
t25	1	3	5	4	6	2	7	210
t39	1	3	5	4	6	2	7	210
t17	1	3	5	4	6	2	7	210
t25	1	3	5	4	6	7	2	120
t39	1	3	5	4	6	7	2	210
t17	1	3	5	4	6	7	2	80
t25	1	3	5	4	7	2	6	120
t39	1	3	5	4	7	2	6	210
t17	1	3	5	4	7	2	6	120
t25	1	3	5	4	7	6	2	120
t39	1	3	5	4	7	6	2	210
t17	1	3	5	4	7	6	2	80
t25	1	3	5	6	2	4	7	210
t39	1	3	5	6	2	4	7	210
t17	1	3	5	6	2	4	7	210
t25	1	3	5	6	2	7	4	160
t39	1	3	5	6	2	7	4	210
t17	1	3	5	6	2	7	4	150
t25	1	3	5	6	4	2	7	210
t39	1	3	5	6	4	2	7	210
t17	1	3	5	6	4	2	7	210
t25	1	3	5	6	4	7	2	160
t39	1	3	5	6	4	7	2	210
t17	1	3	5	6	4	7	2	80
t25	1	3	5	6	7	2	4	120
t39	1	3	5	6	7	2	4	210
t17	1	3	5	6	7	2	4	100
t25	1	3	5	6	7	4	2	120
t39	1	3	5	6	7	4	2	210
t17	1	3	5	6	7	4	2	80
t25	1	3	5	7	2	4	6	210
t39	1	3	5	7	2	4	6	180
t17	1	3	5	7	2	4	6	170
t25	1	3	5	7	2	6	4	210
t39	1	3	5	7	2	6	4	180
t17	1	3	5	7	2	6	4	150
t25	1	3	5	7	4	2	6	210
t39	1	3	5	7	4	2	6	180
t17	1	3	5	7	4	2	6	170
t25	1	3	5	7	4	6	2	210
t39	1	3	5	7	4	6	2	180
t17	1	3	5	7	4	6	2	80
t25	1	3	5	7	6	2	4	210
t39	1	3	5	7	6	2	4	180
t17	1	3	5	7	6	2	4	100
t25	1	3	5	7	6	4	2	210
t39	1	3	5	7	6	4	2	180
t17	1	3	5	7	6	4	2	80
t25	1	3	6	2	4	5	7	210
t39	1	3	6	2	4	5	7	210
t17	1	3	6	2	4	5	7	210
t25	1	3	6	2	4	7	5	160
t39	1	3	6	2	4	7	5	210
t17	1	3	6	2	4	7	5	150
t25	1	3	6	2	5	4	7	210
t39	1	3	6	2	5	4	7	210
t17	1	3	6	2	5	4	7	210
t25	1	3	6	2	5	7	4	160
t39	1	3	6	2	5	7	4	210
t17	1	3	6	2	5	7	4	100
t25	1	3	6	2	7	4	5	120
t39	1	3	6	2	7	4	5	210
t17	1	3	6	2	7	4	5	100
t25	1	3	6	2	7	5	4	120
t39	1	3	6	2	7	5	4	210
t17	1	3	6	2	7	5	4	100
t25	1	3	6	4	2	5	7	210
t39	1	3	6	4	2	5	7	210
t17	1	3	6	4	2	5	7	210
t25	1	3	6	4	2	7	5	160
t39	1	3	6	4	2	7	5	210
t17	1	3	6	4	2	7	5	150
t25	1	3	6	4	5	2	7	210
t39	1	3	6	4	5	2	7	210
t17	1	3	6	4	5	2	7	210
t25	1	3	6	4	5	7	2	160
t39	1	3	6	4	5	7	2	210
t17	1	3	6	4	5	7	2	80
t25	1	3	6	4	7	2	5	120
t39	1	3	6	4	7	2	5	210
t17	1	3	6	4	7	2	5	100
t25	1	3	6	4	7	5	2	120
t39	1	3	6	4	7	5	2	210
t17	1	3	6	4	7	5	2	80
t25	1	3	6	5	2	4	7	210
t39	1	3	6	5	2	4	7	210
t17	1	3	6	5	2	4	7	210
t25	1	3	6	5	2	7	4	160
t39	1	3	6	5	2	7	4	210
t17	1	3	6	5	2	7	4	150
t25	1	3	6	5	4	2	7	210
t39	1	3	6	5	4	2	7	210
t17	1	3	6	5	4	2	7	210
t25	1	3	6	5	4	7	2	160
t39	1	3	6	5	4	7	2	210
t17	1	3	6	5	4	7	2	80
t25	1	3	6	5	7	2	4	120
t39	1	3	6	5	7	2	4	210
t17	1	3	6	5	7	2	4	100
t25	1	3	6	5	7	4	2	120
t39	1	3	6	5	7	4	2	210
t17	1	3	6	5	7	4	2	80
t25	1	3	6	7	2	4	5	210
t39	1	3	6	7	2	4	5	170
t17	1	3	6	7	2	4	5	170
t25	1	3	6	7	2	5	4	210
t39	1	3	6	7	2	5	4	170
t17	1	3	6	7	2	5	4	150
t25	1	3	6	7	4	2	5	210
t39	1	3	6	7	4	2	5	170
t17	1	3	6	7	4	2	5	170
t25	1	3	6	7	4	5	2	210
t39	1	3	6	7	4	5	2	170
t17	1	3	6	7	4	5	2	80
t25	1	3	6	7	5	2	4	210
t39	1	3	6	7	5	2	4	170
t17	1	3	6	7	5	2	4	100
t25	1	3	6	7	5	4	2	210
t39	1	3	6	7	5	4	2	170
