Branching	Index	Inherit	Length	Load	Nesting	Number	Sharing	filename	Mixed	Time
2	73	False	13	50	0	2	0	model-73.graphml	SCHED	0.02944458999999977
2	74	False	13	50	0	2	0	model-74.graphml	SCHED	0.029416120000000046
2	75	False	13	50	0	2	0	model-75.graphml	SCHED	0.029516802000000286
2	76	False	13	50	0	2	0	model-76.graphml	SCHED	0.029791652000000113
2	77	False	13	50	0	2	0	model-77.graphml	SCHED	0.02960347100000016
2	78	False	13	50	0	2	0	model-78.graphml	SCHED	0.03016015499999991
2	79	False	13	50	0	2	0	model-79.graphml	SCHED	0.029471761000000374
2	80	False	13	50	0	2	0	model-80.graphml	SCHED	0.02982734400000009
2	81	False	13	60	0	2	0	model-81.graphml	SCHED	0.02974804299999967
2	82	False	13	60	0	2	0	model-82.graphml	SCHED	0.029955192000000075
2	83	False	13	60	0	2	0	model-83.graphml	SCHED	0.029582848999999634
2	84	False	13	60	0	2	0	model-84.graphml	SCHED	0.029922540999999914
2	85	False	13	60	0	2	0	model-85.graphml	SCHED	0.029826924999999616
2	86	False	13	60	0	2	0	model-86.graphml	SCHED	0.029419708999999905
2	87	False	13	60	0	2	0	model-87.graphml	SCHED	0.029697974999999932
2	88	False	13	60	0	2	0	model-88.graphml	SCHED	0.029160784000000106
2	89	False	13	60	0	2	0	model-89.graphml	SCHED	0.029559240999999847
2	90	False	13	60	0	2	0	model-90.graphml	SCHED	0.029729557999999656
2	91	False	13	70	0	2	0	model-91.graphml	SCHED	0.029519730000000077
2	92	False	13	70	0	2	0	model-92.graphml	SCHED	0.02990141099999999
2	93	False	13	70	0	2	0	model-93.graphml	SCHED	0.02975735600000018
2	94	False	13	70	0	2	0	model-94.graphml	SCHED	0.030021110999999934
2	95	False	13	70	0	2	0	model-95.graphml	SCHED	0.02957074999999998
2	96	False	13	70	0	2	0	model-96.graphml	SCHED	0.029816848999999923
2	97	False	13	70	0	2	0	model-97.graphml	SCHED	0.030003898000000362
2	98	False	13	70	0	2	0	model-98.graphml	SCHED	0.02975011599999977
2	99	False	13	70	0	2	0	model-99.graphml	SCHED	0.029501731999999947
2	100	False	13	70	0	2	0	model-100.graphml	SCHED	0.029782604999999407
2	101	False	13	80	0	2	0	model-101.graphml	SCHED	0.02950711100000003
2	102	False	13	80	0	2	0	model-102.graphml	SCHED	0.02971342300000046
2	103	False	13	80	0	2	0	model-103.graphml	SCHED	0.02955002800000006
2	104	False	13	80	0	2	0	model-104.graphml	SCHED	0.030068076000000055
2	105	False	13	80	0	2	0	model-105.graphml	SCHED	0.02952962300000017
2	106	False	13	80	0	2	0	model-106.graphml	SCHED	0.02958057599999986
2	107	False	13	80	0	2	0	model-107.graphml	SCHED	0.040597746000000434
2	108	False	13	80	0	2	0	model-108.graphml	SCHED	0.040388430999999336
2	109	False	13	80	0	2	0	model-109.graphml	SCHED	0.03982452400000014
2	110	False	13	80	0	2	0	model-110.graphml	SCHED	0.04054679800000027
2	111	False	13	90	0	2	0	model-111.graphml	SCHED	0.04004030100000033
2	112	False	13	90	0	2	0	model-112.graphml	SCHED	0.04032427699999985
2	113	False	13	90	0	2	0	model-113.graphml	SCHED	0.04039096300000011
2	114	False	13	90	0	2	0	model-114.graphml	SCHED	0.03988082900000034
2	115	False	13	90	0	2	0	model-115.graphml	SCHED	0.04039760299999973
2	116	False	13	90	0	2	0	model-116.graphml	SCHED	0.04076108500000064
2	117	False	13	90	0	2	0	model-117.graphml	SCHED	0.03908257799999948
2	118	False	13	90	0	2	0	model-118.graphml	SCHED	0.04067258499999937
2	119	False	13	90	0	2	0	model-119.graphml	SCHED	0.04073898200000059
2	120	False	13	90	0	2	0	model-120.graphml	SCHED	0.02981873700000026
2	121	False	13	95	0	2	0	model-121.graphml	SCHED	0.029837285999999352
2	122	False	13	95	0	2	0	model-122.graphml	SCHED	0.03942839900000017
2	123	False	13	95	0	2	0	model-123.graphml	SCHED	0.040766296000000146
2	124	False	13	95	0	2	0	model-124.graphml	SCHED	0.04058715000000035
2	125	False	13	95	0	2	0	model-125.graphml	SCHED	0.04025145000000041
2	126	False	13	95	0	2	0	model-126.graphml	SCHED	0.04088286899999982
2	127	False	13	95	0	2	0	model-127.graphml	SCHED	0.030275845000000245
2	128	False	13	95	0	2	0	model-128.graphml	SCHED	0.02959371700000002
2	129	False	13	95	0	2	0	model-129.graphml	SCHED	0.029942909999999934
2	130	False	13	95	0	2	0	model-130.graphml	SCHED	0.02976485100000037
