Branching	Index	Inherit	Length	Load	Nesting	Number	Sharing	filename	CPA	Time
1	1	True	13	50	0	2	0	model-1.graphml	UNSCHED	25.850581133
1	2	True	13	50	0	2	0	model-2.graphml	UNSCHED	15.735989575000001
1	3	True	13	50	0	2	0	model-3.graphml	UNSCHED	32.110071609
1	4	True	13	50	0	2	0	model-4.graphml	UNSCHED	20.526655683
1	5	True	13	50	0	2	0	model-5.graphml	UNSCHED	14.688066184999997
1	6	True	13	50	0	2	0	model-6.graphml	UNSCHED	5.588518152000006
1	7	True	13	50	0	2	0	model-7.graphml	UNSCHED	14.909217025000004
1	8	True	13	50	0	2	0	model-8.graphml	UNSCHED	25.02515731599999
1	9	True	13	50	0	2	0	model-9.graphml	UNSCHED	18.00746190999999
1	10	True	13	50	0	2	0	model-10.graphml	TIMEOUT	60.021646377999986
1	11	True	13	60	0	2	0	model-11.graphml	UNSCHED	3.265717288000019
1	12	True	13	60	0	2	0	model-12.graphml	UNSCHED	13.799532053999997
1	13	True	13	60	0	2	0	model-13.graphml	UNSCHED	6.812453082000019
1	14	True	13	60	0	2	0	model-14.graphml	UNSCHED	5.085462871000004
1	15	True	13	60	0	2	0	model-15.graphml	UNSCHED	3.205623263999996
1	16	True	13	60	0	2	0	model-16.graphml	UNSCHED	7.142344847000004
1	17	True	13	60	0	2	0	model-17.graphml	UNSCHED	26.406043034999982
1	18	True	13	60	0	2	0	model-18.graphml	UNSCHED	18.101506958000016
1	19	True	13	60	0	2	0	model-19.graphml	UNSCHED	13.242376104000016
1	20	True	13	60	0	2	0	model-20.graphml	UNSCHED	6.54668442000002
1	21	True	13	70	0	2	0	model-21.graphml	UNSCHED	12.964359876999993
1	22	True	13	70	0	2	0	model-22.graphml	UNSCHED	3.8383825490000163
1	23	True	13	70	0	2	0	model-23.graphml	UNSCHED	2.644406839999988
1	24	True	13	70	0	2	0	model-24.graphml	UNSCHED	0.9072092289999887
1	25	True	13	70	0	2	0	model-25.graphml	UNSCHED	11.189679418000026
1	26	True	13	70	0	2	0	model-26.graphml	UNSCHED	6.296405031999996
1	27	True	13	70	0	2	0	model-27.graphml	UNSCHED	8.019675554000003
1	28	True	13	70	0	2	0	model-28.graphml	UNSCHED	12.642711046999977
1	29	True	13	70	0	2	0	model-29.graphml	UNSCHED	3.208478987000035
1	30	True	13	70	0	2	0	model-30.graphml	UNSCHED	2.966148196000006
1	31	True	13	80	0	2	0	model-31.graphml	UNSCHED	9.398852051999995
1	32	True	13	80	0	2	0	model-32.graphml	UNSCHED	8.549850049999975
1	33	True	13	80	0	2	0	model-33.graphml	UNSCHED	5.01146468099995
1	34	True	13	80	0	2	0	model-34.graphml	UNSCHED	0.8311032330000216
1	35	True	13	80	0	2	0	model-35.graphml	UNSCHED	2.3637203249999743
1	36	True	13	80	0	2	0	model-36.graphml	UNSCHED	1.2331510110000181
1	37	True	13	80	0	2	0	model-37.graphml	UNSCHED	0.33859971200001837
1	38	True	13	80	0	2	0	model-38.graphml	UNSCHED	0.4335457770000062
1	39	True	13	80	0	2	0	model-39.graphml	UNSCHED	4.7313139670000055
1	40	True	13	80	0	2	0	model-40.graphml	UNSCHED	0.42962386400000696
1	41	True	13	90	0	2	0	model-41.graphml	UNSCHED	5.357637311000019
1	42	True	13	90	0	2	0	model-42.graphml	UNSCHED	0.6655149360000223
1	43	True	13	90	0	2	0	model-43.graphml	UNSCHED	0.2796161809999944
1	44	True	13	90	0	2	0	model-44.graphml	UNSCHED	1.7105371509999827
1	45	True	13	90	0	2	0	model-45.graphml	UNSCHED	4.999566019000042
1	46	True	13	90	0	2	0	model-46.graphml	UNSCHED	1.1623561549999977
1	47	True	13	90	0	2	0	model-47.graphml	UNSCHED	0.3889442849999796
1	48	True	13	90	0	2	0	model-48.graphml	UNSCHED	0.3820192949999637
1	49	True	13	90	0	2	0	model-49.graphml	UNSCHED	0.33600252399998
1	50	True	13	90	0	2	0	model-50.graphml	UNSCHED	9.026261002000012
1	51	True	13	95	0	2	0	model-51.graphml	UNSCHED	0.6136174709999977
1	52	True	13	95	0	2	0	model-52.graphml	UNSCHED	1.2036015930000303
1	53	True	13	95	0	2	0	model-53.graphml	UNSCHED	7.806043391999992
1	54	True	13	95	0	2	0	model-54.graphml	UNSCHED	0.6063111969999682
1	55	True	13	95	0	2	0	model-55.graphml	UNSCHED	2.7774013339999897
1	56	True	13	95	0	2	0	model-56.graphml	UNSCHED	0.3640902980000078
1	57	True	13	95	0	2	0	model-57.graphml	UNSCHED	0.453285907999998
1	58	True	13	95	0	2	0	model-58.graphml	UNSCHED	0.9332016070000009
