Path	ctx-a	ctx-b	ctx-u	ctx-v	ctx-y	ctx-z	ctx-p	CPA
t17	1	3	4	5	6	7	2	560
t25	1	3	4	5	6	7	2	980
t39	1	3	4	5	7	2	6	1865
t17	1	3	4	5	7	2	6	620
t25	1	3	4	5	7	2	6	800
t39	1	3	4	5	7	6	2	1685
t17	1	3	4	5	7	6	2	560
t25	1	3	4	5	7	6	2	980
t39	1	3	4	6	2	5	7	1515
t17	1	3	4	6	2	5	7	770
t25	1	3	4	6	2	5	7	1120
t39	1	3	4	6	2	7	5	1505
t17	1	3	4	6	2	7	5	710
t25	1	3	4	6	2	7	5	1220
t39	1	3	4	6	5	2	7	1625
t17	1	3	4	6	5	2	7	740
t25	1	3	4	6	5	2	7	1040
t39	1	3	4	6	5	7	2	1625
t17	1	3	4	6	5	7	2	560
t25	1	3	4	6	5	7	2	1100
t39	1	3	4	6	7	2	5	1785
t17	1	3	4	6	7	2	5	580
t25	1	3	4	6	7	2	5	960
t39	1	3	4	6	7	5	2	1665
t17	1	3	4	6	7	5	2	560
t25	1	3	4	6	7	5	2	1000
t39	1	3	4	7	2	5	6	1400
t17	1	3	4	7	2	5	6	710
t25	1	3	4	7	2	5	6	1220
t39	1	3	4	7	2	6	5	1485
t17	1	3	4	7	2	6	5	710
t25	1	3	4	7	2	6	5	1240
t39	1	3	4	7	5	2	6	1470
t17	1	3	4	7	5	2	6	660
t25	1	3	4	7	5	2	6	1120
t39	1	3	4	7	5	6	2	1605
t17	1	3	4	7	5	6	2	560
t25	1	3	4	7	5	6	2	1120
t39	1	3	4	7	6	2	5	1590
t17	1	3	4	7	6	2	5	540
t25	1	3	4	7	6	2	5	1040
t39	1	3	4	7	6	5	2	1540
t17	1	3	4	7	6	5	2	530
t25	1	3	4	7	6	5	2	1080
t39	1	3	5	2	4	6	7	1655
t17	1	3	5	2	4	6	7	730
t25	1	3	5	2	4	6	7	960
t39	1	3	5	2	4	7	6	1705
t17	1	3	5	2	4	7	6	710
t25	1	3	5	2	4	7	6	940
t39	1	3	5	2	6	4	7	1735
t17	1	3	5	2	6	4	7	750
t25	1	3	5	2	6	4	7	880
t39	1	3	5	2	6	7	4	1830
t17	1	3	5	2	6	7	4	550
t25	1	3	5	2	6	7	4	840
t39	1	3	5	2	7	4	6	1895
t17	1	3	5	2	7	4	6	630
t25	1	3	5	2	7	4	6	760
t39	1	3	5	2	7	6	4	1850
t17	1	3	5	2	7	6	4	550
t25	1	3	5	2	7	6	4	840
t39	1	3	5	4	2	6	7	1535
t17	1	3	5	4	2	6	7	770
t25	1	3	5	4	2	6	7	1100
t39	1	3	5	4	2	7	6	1585
t17	1	3	5	4	2	7	6	750
t25	1	3	5	4	2	7	6	1080
t39	1	3	5	4	6	2	7	1705
t17	1	3	5	4	6	2	7	740
t25	1	3	5	4	6	2	7	920
t39	1	3	5	4	6	7	2	1705
t17	1	3	5	4	6	7	2	560
t25	1	3	5	4	6	7	2	980
t39	1	3	5	4	7	2	6	1865
t17	1	3	5	4	7	2	6	620
t25	1	3	5	4	7	2	6	800
t39	1	3	5	4	7	6	2	1685
t17	1	3	5	4	7	6	2	560
t25	1	3	5	4	7	6	2	980
t39	1	3	5	6	2	4	7	1495
t17	1	3	5	6	2	4	7	770
t25	1	3	5	6	2	4	7	1140
t39	1	3	5	6	2	7	4	1390
t17	1	3	5	6	2	7	4	650
t25	1	3	5	6	2	7	4	1340
t39	1	3	5	6	4	2	7	1470
t17	1	3	5	6	4	2	7	700
t25	1	3	5	6	4	2	7	1120
t39	1	3	5	6	4	7	2	1510
t17	1	3	5	6	4	7	2	530
t25	1	3	5	6	4	7	2	1200
t39	1	3	5	6	7	2	4	1630
t17	1	3	5	6	7	2	4	500
t25	1	3	5	6	7	2	4	1020
t39	1	3	5	6	7	4	2	1600
t17	1	3	5	6	7	4	2	530
t25	1	3	5	6	7	4	2	1000
t39	1	3	5	7	2	4	6	1380
t17	1	3	5	7	2	4	6	710
t25	1	3	5	7	2	4	6	1240
t39	1	3	5	7	2	6	4	1360
t17	1	3	5	7	2	6	4	650
t25	1	3	5	7	2	6	4	1340
t39	1	3	5	7	4	2	6	1390
t17	1	3	5	7	4	2	6	660
t25	1	3	5	7	4	2	6	1240
t39	1	3	5	7	4	6	2	1490
t17	1	3	5	7	4	6	2	530
t25	1	3	5	7	4	6	2	1220
t39	1	3	5	7	6	2	4	1470
t17	1	3	5	7	6	2	4	500
t25	1	3	5	7	6	2	4	1120
t39	1	3	5	7	6	4	2	1520
t17	1	3	5	7	6	4	2	530
t25	1	3	5	7	6	4	2	1100
t39	1	3	6	2	4	5	7	1635
t17	1	3	6	2	4	5	7	730
t25	1	3	6	2	4	5	7	980
t39	1	3	6	2	4	7	5	1625
t17	1	3	6	2	4	7	5	670
t25	1	3	6	2	4	7	5	1080
t39	1	3	6	2	5	4	7	1655
t17	1	3	6	2	5	4	7	750
t25	1	3	6	2	5	4	7	1000
t39	1	3	6	2	5	7	4	1745
t17	1	3	6	2	5	7	4	550
t25	1	3	6	2	5	7	4	960
t39	1	3	6	2	7	4	5	1815
t17	1	3	6	2	7	4	5	590
t25	1	3	6	2	7	4	5	920
t39	1	3	6	2	7	5	4	1825
t17	1	3	6	2	7	5	4	550
t25	1	3	6	2	7	5	4	880
t39	1	3	6	4	2	5	7	1515
t17	1	3	6	4	2	5	7	770
t25	1	3	6	4	2	5	7	1120
t39	1	3	6	4	2	7	5	1505
t17	1	3	6	4	2	7	5	710
t25	1	3	6	4	2	7	5	1220
t39	1	3	6	4	5	2	7	1625
t17	1	3	6	4	5	2	7	740
t25	1	3	6	4	5	2	7	1040
t39	1	3	6	4	5	7	2	1625
t17	1	3	6	4	5	7	2	560
t25	1	3	6	4	5	7	2	1100
t39	1	3	6	4	7	2	5	1785
t17	1	3	6	4	7	2	5	580
t25	1	3	6	4	7	2	5	960
t39	1	3	6	4	7	5	2	1665
t17	1	3	6	4	7	5	2	560
t25	1	3	6	4	7	5	2	1000
t39	1	3	6	5	2	4	7	1495
t17	1	3	6	5	2	4	7	770
t25	1	3	6	5	2	4	7	1140
t39	1	3	6	5	2	7	4	1390
t17	1	3	6	5	2	7	4	650
t25	1	3	6	5	2	7	4	1340
t39	1	3	6	5	4	2	7	1470
t17	1	3	6	5	4	2	7	700
t25	1	3	6	5	4	2	7	1120
t39	1	3	6	5	4	7	2	1510
t17	1	3	6	5	4	7	2	530
t25	1	3	6	5	4	7	2	1200
t39	1	3	6	5	7	2	4	1630
t17	1	3	6	5	7	2	4	500
t25	1	3	6	5	7	2	4	1020
t39	1	3	6	5	7	4	2	1600
t17	1	3	6	5	7	4	2	530
t25	1	3	6	5	7	4	2	1000
t39	1	3	6	7	2	4	5	1255
t17	1	3	6	7	2	4	5	660
t25	1	3	6	7	2	4	5	1360
t39	1	3	6	7	2	5	4	1340
t17	1	3	6	7	2	5	4	650
t25	1	3	6	7	2	5	4	1340
t39	1	3	6	7	4	2	5	1235
t17	1	3	6	7	4	2	5	600
t25	1	3	6	7	4	2	5	1340
t39	1	3	6	7	4	5	2	1420
t17	1	3	6	7	4	5	2	530
t25	1	3	6	7	4	5	2	1240
t39	1	3	6	7	5	2	4	1390
t17	1	3	6	7	5	2	4	500
t25	1	3	6	7	5	2	4	1240
t39	1	3	6	7	5	4	2	1400
t17	1	3	6	7	5	4	2	530
t25	1	3	6	7	5	4	2	1200
t39	1	3	7	2	4	5	6	1555
t17	1	3	7	2	4	5	6	690
t25	1	3	7	2	4	5	6	1120
t39	1	3	7	2	4	6	5	1605
t17	1	3	7	2	4	6	5	670
t25	1	3	7	2	4	6	5	1100
t39	1	3	7	2	5	4	6	1500
t17	1	3	7	2	5	4	6	670
t25	1	3	7	2	5	4	6	1100
t39	1	3	7	2	5	6	4	1725
t17	1	3	7	2	5	6	4	550
t25	1	3	7	2	5	6	4	980
t39	1	3	7	2	6	4	5	1620
t17	1	3	7	2	6	4	5	550
t25	1	3	7	2	6	4	5	1000
t39	1	3	7	2	6	5	4	1705
t17	1	3	7	2	6	5	4	550
t25	1	3	7	2	6	5	4	1000
t39	1	3	7	4	2	5	6	1400
t17	1	3	7	4	2	5	6	710
t25	1	3	7	4	2	5	6	1220
t39	1	3	7	4	2	6	5	1485
t17	1	3	7	4	2	6	5	710
t25	1	3	7	4	2	6	5	1240
t39	1	3	7	4	5	2	6	1470
